datetime,source_date,source_time,price_yuan_per_kwh
2025-01-01 00:10:00,2025-01-01,00:10:00,0.4527
2025-01-01 00:20:00,2025-01-01,00:20:00,0.4733
2025-01-01 00:30:00,2025-01-01,00:30:00,0.4843
2025-01-01 00:40:00,2025-01-01,00:40:00,0.4541
2025-01-01 00:50:00,2025-01-01,00:50:00,0.4266
2025-01-01 01:00:00,2025-01-01,01:00:00,0.4311
2025-01-01 01:10:00,2025-01-01,01:10:00,0.4544
2025-01-01 01:20:00,2025-01-01,01:20:00,0.4483
2025-01-01 01:30:00,2025-01-01,01:30:00,0.4251
2025-01-01 01:40:00,2025-01-01,01:40:00,0.444
2025-01-01 01:50:00,2025-01-01,01:50:00,0.478
2025-01-01 02:00:00,2025-01-01,02:00:00,0.4941
2025-01-01 02:10:00,2025-01-01,02:10:00,0.484
2025-01-01 02:20:00,2025-01-01,02:20:00,0.4751
2025-01-01 02:30:00,2025-01-01,02:30:00,0.488
2025-01-01 02:40:00,2025-01-01,02:40:00,0.5215
2025-01-01 02:50:00,2025-01-01,02:50:00,0.5498
2025-01-01 03:00:00,2025-01-01,03:00:00,0.5471
2025-01-01 03:10:00,2025-01-01,03:10:00,0.5067
2025-01-01 03:20:00,2025-01-01,03:20:00,0.4769
2025-01-01 03:30:00,2025-01-01,03:30:00,0.4669
2025-01-01 03:40:00,2025-01-01,03:40:00,0.4501
2025-01-01 03:50:00,2025-01-01,03:50:00,0.4608
2025-01-01 04:00:00,2025-01-01,04:00:00,0.4927
2025-01-01 04:10:00,2025-01-01,04:10:00,0.4976
2025-01-01 04:20:00,2025-01-01,04:20:00,0.4889
2025-01-01 04:30:00,2025-01-01,04:30:00,0.4885
2025-01-01 04:40:00,2025-01-01,04:40:00,0.5042
2025-01-01 04:50:00,2025-01-01,04:50:00,0.5178
2025-01-01 05:00:00,2025-01-01,05:00:00,0.5042
2025-01-01 05:10:00,2025-01-01,05:10:00,0.4639
2025-01-01 05:20:00,2025-01-01,05:20:00,0.4899
2025-01-01 05:30:00,2025-01-01,05:30:00,0.5194
2025-01-01 05:40:00,2025-01-01,05:40:00,0.4459
2025-01-01 05:50:00,2025-01-01,05:50:00,0.6726
2025-01-01 06:00:00,2025-01-01,06:00:00,1.0693
2025-01-01 06:10:00,2025-01-01,06:10:00,1.0696
2025-01-01 06:20:00,2025-01-01,06:20:00,0.9974
2025-01-01 06:30:00,2025-01-01,06:30:00,1.0451
2025-01-01 06:40:00,2025-01-01,06:40:00,1.0684
2025-01-01 06:50:00,2025-01-01,06:50:00,1.0267
2025-01-01 07:00:00,2025-01-01,07:00:00,0.9814
2025-01-01 07:10:00,2025-01-01,07:10:00,1.0187
2025-01-01 07:20:00,2025-01-01,07:20:00,1.0362
2025-01-01 07:30:00,2025-01-01,07:30:00,0.967
2025-01-01 07:40:00,2025-01-01,07:40:00,0.893
2025-01-01 07:50:00,2025-01-01,07:50:00,1.136
2025-01-01 08:00:00,2025-01-01,08:00:00,1.5209
2025-01-01 08:10:00,2025-01-01,08:10:00,1.5206
2025-01-01 08:20:00,2025-01-01,08:20:00,1.4132
2025-01-01 08:30:00,2025-01-01,08:30:00,1.3895
2025-01-01 08:40:00,2025-01-01,08:40:00,1.361
2025-01-01 08:50:00,2025-01-01,08:50:00,1.3028
2025-01-01 09:00:00,2025-01-01,09:00:00,1.2562
2025-01-01 09:10:00,2025-01-01,09:10:00,1.2749
2025-01-01 09:20:00,2025-01-01,09:20:00,1.2735
2025-01-01 09:30:00,2025-01-01,09:30:00,1.2135
2025-01-01 09:40:00,2025-01-01,09:40:00,1.1586
2025-01-01 09:50:00,2025-01-01,09:50:00,1.2464
2025-01-01 10:00:00,2025-01-01,10:00:00,1.3947
2025-01-01 10:10:00,2025-01-01,10:10:00,1.3761
2025-01-01 10:20:00,2025-01-01,10:20:00,1.3294
2025-01-01 10:30:00,2025-01-01,10:30:00,1.3646
2025-01-01 10:40:00,2025-01-01,10:40:00,1.4099
2025-01-01 10:50:00,2025-01-01,10:50:00,1.1773
2025-01-01 11:00:00,2025-01-01,11:00:00,0.806
2025-01-01 11:10:00,2025-01-01,11:10:00,0.7483
2025-01-01 11:20:00,2025-01-01,11:20:00,0.7981
2025-01-01 11:30:00,2025-01-01,11:30:00,0.7929
2025-01-01 11:40:00,2025-01-01,11:40:00,0.7713
2025-01-01 11:50:00,2025-01-01,11:50:00,0.726
2025-01-01 12:00:00,2025-01-01,12:00:00,0.7133
2025-01-01 12:10:00,2025-01-01,12:10:00,0.8026
2025-01-01 12:20:00,2025-01-01,12:20:00,0.8183
2025-01-01 12:30:00,2025-01-01,12:30:00,0.7305
2025-01-01 12:40:00,2025-01-01,12:40:00,0.712
2025-01-01 12:50:00,2025-01-01,12:50:00,0.903
2025-01-01 13:00:00,2025-01-01,13:00:00,1.1525
2025-01-01 13:10:00,2025-01-01,13:10:00,1.1607
2025-01-01 13:20:00,2025-01-01,13:20:00,1.1437
2025-01-01 13:30:00,2025-01-01,13:30:00,1.1537
2025-01-01 13:40:00,2025-01-01,13:40:00,1.0571
2025-01-01 13:50:00,2025-01-01,13:50:00,1.1423
2025-01-01 14:00:00,2025-01-01,14:00:00,1.3627
2025-01-01 14:10:00,2025-01-01,14:10:00,1.363
2025-01-01 14:20:00,2025-01-01,14:20:00,1.3215
2025-01-01 14:30:00,2025-01-01,14:30:00,1.3884
2025-01-01 14:40:00,2025-01-01,14:40:00,1.4736
2025-01-01 14:50:00,2025-01-01,14:50:00,1.2203
2025-01-01 15:00:00,2025-01-01,15:00:00,0.8295
2025-01-01 15:10:00,2025-01-01,15:10:00,0.8782
2025-01-01 15:20:00,2025-01-01,15:20:00,0.974
2025-01-01 15:30:00,2025-01-01,15:30:00,0.9257
2025-01-01 15:40:00,2025-01-01,15:40:00,0.9368
2025-01-01 15:50:00,2025-01-01,15:50:00,0.9885
2025-01-01 16:00:00,2025-01-01,16:00:00,1.0236
2025-01-01 16:10:00,2025-01-01,16:10:00,1.0256
2025-01-01 16:20:00,2025-01-01,16:20:00,1.0518
2025-01-01 16:30:00,2025-01-01,16:30:00,1.0918
2025-01-01 16:40:00,2025-01-01,16:40:00,1.0866
2025-01-01 16:50:00,2025-01-01,16:50:00,1.1196
2025-01-01 17:00:00,2025-01-01,17:00:00,1.1821
2025-01-01 17:10:00,2025-01-01,17:10:00,1.1719
2025-01-01 17:20:00,2025-01-01,17:20:00,1.1271
2025-01-01 17:30:00,2025-01-01,17:30:00,1.1001
2025-01-01 17:40:00,2025-01-01,17:40:00,1.1206
2025-01-01 17:50:00,2025-01-01,17:50:00,1.2125
2025-01-01 18:00:00,2025-01-01,18:00:00,1.3246
2025-01-01 18:10:00,2025-01-01,18:10:00,1.3543
2025-01-01 18:20:00,2025-01-01,18:20:00,1.2951
2025-01-01 18:30:00,2025-01-01,18:30:00,1.2214
2025-01-01 18:40:00,2025-01-01,18:40:00,1.2363
2025-01-01 18:50:00,2025-01-01,18:50:00,1.3339
2025-01-01 19:00:00,2025-01-01,19:00:00,1.4613
2025-01-01 19:10:00,2025-01-01,19:10:00,1.5521
2025-01-01 19:20:00,2025-01-01,19:20:00,1.5622
2025-01-01 19:30:00,2025-01-01,19:30:00,1.5218
2025-01-01 19:40:00,2025-01-01,19:40:00,1.5047
2025-01-01 19:50:00,2025-01-01,19:50:00,1.4843
2025-01-01 20:00:00,2025-01-01,20:00:00,1.4695
2025-01-01 20:10:00,2025-01-01,20:10:00,1.4993
2025-01-01 20:20:00,2025-01-01,20:20:00,1.4946
2025-01-01 20:30:00,2025-01-01,20:30:00,1.5029
2025-01-01 20:40:00,2025-01-01,20:40:00,1.5993
2025-01-01 20:50:00,2025-01-01,20:50:00,1.3716
2025-01-01 21:00:00,2025-01-01,21:00:00,0.9601
2025-01-01 21:10:00,2025-01-01,21:10:00,0.9485
2025-01-01 21:20:00,2025-01-01,21:20:00,1.0064
2025-01-01 21:30:00,2025-01-01,21:30:00,0.9622
2025-01-01 21:40:00,2025-01-01,21:40:00,0.947
2025-01-01 21:50:00,2025-01-01,21:50:00,0.7428
2025-01-01 22:00:00,2025-01-01,22:00:00,0.4482
2025-01-01 22:10:00,2025-01-01,22:10:00,0.4243
2025-01-01 22:20:00,2025-01-01,22:20:00,0.4595
2025-01-01 22:30:00,2025-01-01,22:30:00,0.4384
2025-01-01 22:40:00,2025-01-01,22:40:00,0.4506
2025-01-01 22:50:00,2025-01-01,22:50:00,0.4362
2025-01-01 23:00:00,2025-01-01,23:00:00,0.4111
2025-01-01 23:10:00,2025-01-01,23:10:00,0.459
2025-01-01 23:20:00,2025-01-01,23:20:00,0.4759
2025-01-01 23:30:00,2025-01-01,23:30:00,0.4314
2025-01-01 23:40:00,2025-01-01,23:40:00,0.4038
2025-01-01 23:50:00,2025-01-01,23:50:00,0.4179
2025-01-02 00:00:00,2025-01-01,0:00+1,0.4284
2025-01-02 00:10:00,2025-01-02,00:10:00,0.3809
2025-01-02 00:20:00,2025-01-02,00:20:00,0.3964
2025-01-02 00:30:00,2025-01-02,00:30:00,0.4654
2025-01-02 00:40:00,2025-01-02,00:40:00,0.4542
2025-01-02 00:50:00,2025-01-02,00:50:00,0.4299
2025-01-02 01:00:00,2025-01-02,01:00:00,0.4477
2025-01-02 01:10:00,2025-01-02,01:10:00,0.4859
2025-01-02 01:20:00,2025-01-02,01:20:00,0.4752
2025-01-02 01:30:00,2025-01-02,01:30:00,0.4348
2025-01-02 01:40:00,2025-01-02,01:40:00,0.4513
2025-01-02 01:50:00,2025-01-02,01:50:00,0.4853
2025-01-02 02:00:00,2025-01-02,02:00:00,0.4864
2025-01-02 02:10:00,2025-01-02,02:10:00,0.4444
2025-01-02 02:20:00,2025-01-02,02:20:00,0.4217
2025-01-02 02:30:00,2025-01-02,02:30:00,0.4443
2025-01-02 02:40:00,2025-01-02,02:40:00,0.4757
2025-01-02 02:50:00,2025-01-02,02:50:00,0.4517
2025-01-02 03:00:00,2025-01-02,03:00:00,0.4249
2025-01-02 03:10:00,2025-01-02,03:10:00,0.5053
2025-01-02 03:20:00,2025-01-02,03:20:00,0.5471
2025-01-02 03:30:00,2025-01-02,03:30:00,0.5103
2025-01-02 03:40:00,2025-01-02,03:40:00,0.5009
2025-01-02 03:50:00,2025-01-02,03:50:00,0.5244
2025-01-02 04:00:00,2025-01-02,04:00:00,0.548
2025-01-02 04:10:00,2025-01-02,04:10:00,0.5374
2025-01-02 04:20:00,2025-01-02,04:20:00,0.4983
2025-01-02 04:30:00,2025-01-02,04:30:00,0.4835
2025-01-02 04:40:00,2025-01-02,04:40:00,0.539
2025-01-02 04:50:00,2025-01-02,04:50:00,0.5404
2025-01-02 05:00:00,2025-01-02,05:00:00,0.4883
2025-01-02 05:10:00,2025-01-02,05:10:00,0.5077
2025-01-02 05:20:00,2025-01-02,05:20:00,0.5513
2025-01-02 05:30:00,2025-01-02,05:30:00,0.528
2025-01-02 05:40:00,2025-01-02,05:40:00,0.4409
2025-01-02 05:50:00,2025-01-02,05:50:00,0.6417
2025-01-02 06:00:00,2025-01-02,06:00:00,1.0168
2025-01-02 06:10:00,2025-01-02,06:10:00,1.0773
2025-01-02 06:20:00,2025-01-02,06:20:00,1.0353
2025-01-02 06:30:00,2025-01-02,06:30:00,1.0552
2025-01-02 06:40:00,2025-01-02,06:40:00,1.0765
2025-01-02 06:50:00,2025-01-02,06:50:00,1.0611
2025-01-02 07:00:00,2025-01-02,07:00:00,1.0284
2025-01-02 07:10:00,2025-01-02,07:10:00,1.0303
2025-01-02 07:20:00,2025-01-02,07:20:00,1.0451
2025-01-02 07:30:00,2025-01-02,07:30:00,0.9954
2025-01-02 07:40:00,2025-01-02,07:40:00,0.8699
2025-01-02 07:50:00,2025-01-02,07:50:00,1.0474
2025-01-02 08:00:00,2025-01-02,08:00:00,1.4142
2025-01-02 08:10:00,2025-01-02,08:10:00,1.4538
2025-01-02 08:20:00,2025-01-02,08:20:00,1.3917
2025-01-02 08:30:00,2025-01-02,08:30:00,1.3851
2025-01-02 08:40:00,2025-01-02,08:40:00,1.3569
2025-01-02 08:50:00,2025-01-02,08:50:00,1.3276
2025-01-02 09:00:00,2025-01-02,09:00:00,1.3123
2025-01-02 09:10:00,2025-01-02,09:10:00,1.295
2025-01-02 09:20:00,2025-01-02,09:20:00,1.2685
2025-01-02 09:30:00,2025-01-02,09:30:00,1.2318
2025-01-02 09:40:00,2025-01-02,09:40:00,1.2119
2025-01-02 09:50:00,2025-01-02,09:50:00,1.3227
2025-01-02 10:00:00,2025-01-02,10:00:00,1.4694
2025-01-02 10:10:00,2025-01-02,10:10:00,1.425
2025-01-02 10:20:00,2025-01-02,10:20:00,1.3505
2025-01-02 10:30:00,2025-01-02,10:30:00,1.382
2025-01-02 10:40:00,2025-01-02,10:40:00,1.4486
2025-01-02 10:50:00,2025-01-02,10:50:00,1.1762
2025-01-02 11:00:00,2025-01-02,11:00:00,0.7285
2025-01-02 11:10:00,2025-01-02,11:10:00,0.6748
2025-01-02 11:20:00,2025-01-02,11:20:00,0.7698
2025-01-02 11:30:00,2025-01-02,11:30:00,0.802
2025-01-02 11:40:00,2025-01-02,11:40:00,0.7991
2025-01-02 11:50:00,2025-01-02,11:50:00,0.77
2025-01-02 12:00:00,2025-01-02,12:00:00,0.7251
2025-01-02 12:10:00,2025-01-02,12:10:00,0.6934
2025-01-02 12:20:00,2025-01-02,12:20:00,0.736
2025-01-02 12:30:00,2025-01-02,12:30:00,0.7799
2025-01-02 12:40:00,2025-01-02,12:40:00,0.7126
2025-01-02 12:50:00,2025-01-02,12:50:00,0.8149
2025-01-02 13:00:00,2025-01-02,13:00:00,1.0546
2025-01-02 13:10:00,2025-01-02,13:10:00,1.1073
2025-01-02 13:20:00,2025-01-02,13:20:00,1.1179
2025-01-02 13:30:00,2025-01-02,13:30:00,1.1386
2025-01-02 13:40:00,2025-01-02,13:40:00,1.085
2025-01-02 13:50:00,2025-01-02,13:50:00,1.1688
2025-01-02 14:00:00,2025-01-02,14:00:00,1.3731
2025-01-02 14:10:00,2025-01-02,14:10:00,1.443
2025-01-02 14:20:00,2025-01-02,14:20:00,1.3961
2025-01-02 14:30:00,2025-01-02,14:30:00,1.3955
2025-01-02 14:40:00,2025-01-02,14:40:00,1.5287
2025-01-02 14:50:00,2025-01-02,14:50:00,1.3188
2025-01-02 15:00:00,2025-01-02,15:00:00,0.9014
2025-01-02 15:10:00,2025-01-02,15:10:00,0.9117
2025-01-02 15:20:00,2025-01-02,15:20:00,0.9858
2025-01-02 15:30:00,2025-01-02,15:30:00,0.9466
2025-01-02 15:40:00,2025-01-02,15:40:00,0.9835
2025-01-02 15:50:00,2025-01-02,15:50:00,0.9801
2025-01-02 16:00:00,2025-01-02,16:00:00,0.9453
2025-01-02 16:10:00,2025-01-02,16:10:00,1.0223
2025-01-02 16:20:00,2025-01-02,16:20:00,1.0698
2025-01-02 16:30:00,2025-01-02,16:30:00,1.0489
2025-01-02 16:40:00,2025-01-02,16:40:00,1.0608
2025-01-02 16:50:00,2025-01-02,16:50:00,1.0696
2025-01-02 17:00:00,2025-01-02,17:00:00,1.0691
2025-01-02 17:10:00,2025-01-02,17:10:00,1.1027
2025-01-02 17:20:00,2025-01-02,17:20:00,1.1447
2025-01-02 17:30:00,2025-01-02,17:30:00,1.132
2025-01-02 17:40:00,2025-01-02,17:40:00,1.0495
2025-01-02 17:50:00,2025-01-02,17:50:00,1.1389
2025-01-02 18:00:00,2025-01-02,18:00:00,1.3264
2025-01-02 18:10:00,2025-01-02,18:10:00,1.2974
2025-01-02 18:20:00,2025-01-02,18:20:00,1.2746
2025-01-02 18:30:00,2025-01-02,18:30:00,1.302
2025-01-02 18:40:00,2025-01-02,18:40:00,1.2218
2025-01-02 18:50:00,2025-01-02,18:50:00,1.3207
2025-01-02 19:00:00,2025-01-02,19:00:00,1.5402
2025-01-02 19:10:00,2025-01-02,19:10:00,1.5188
2025-01-02 19:20:00,2025-01-02,19:20:00,1.5062
2025-01-02 19:30:00,2025-01-02,19:30:00,1.5684
2025-01-02 19:40:00,2025-01-02,19:40:00,1.5131
2025-01-02 19:50:00,2025-01-02,19:50:00,1.474
2025-01-02 20:00:00,2025-01-02,20:00:00,1.5042
2025-01-02 20:10:00,2025-01-02,20:10:00,1.5144
2025-01-02 20:20:00,2025-01-02,20:20:00,1.5101
2025-01-02 20:30:00,2025-01-02,20:30:00,1.5457
2025-01-02 20:40:00,2025-01-02,20:40:00,1.6098
2025-01-02 20:50:00,2025-01-02,20:50:00,1.3601
2025-01-02 21:00:00,2025-01-02,21:00:00,0.9518
2025-01-02 21:10:00,2025-01-02,21:10:00,0.9182
2025-01-02 21:20:00,2025-01-02,21:20:00,0.9978
2025-01-02 21:30:00,2025-01-02,21:30:00,1.0226
2025-01-02 21:40:00,2025-01-02,21:40:00,1.0437
2025-01-02 21:50:00,2025-01-02,21:50:00,0.8145
2025-01-02 22:00:00,2025-01-02,22:00:00,0.4539
2025-01-02 22:10:00,2025-01-02,22:10:00,0.3707
2025-01-02 22:20:00,2025-01-02,22:20:00,0.3724
2025-01-02 22:30:00,2025-01-02,22:30:00,0.3623
2025-01-02 22:40:00,2025-01-02,22:40:00,0.4398
2025-01-02 22:50:00,2025-01-02,22:50:00,0.4911
2025-01-02 23:00:00,2025-01-02,23:00:00,0.473
2025-01-02 23:10:00,2025-01-02,23:10:00,0.4541
2025-01-02 23:20:00,2025-01-02,23:20:00,0.4446
2025-01-02 23:30:00,2025-01-02,23:30:00,0.4413
2025-01-02 23:40:00,2025-01-02,23:40:00,0.4391
2025-01-02 23:50:00,2025-01-02,23:50:00,0.4199
2025-01-03 00:00:00,2025-01-02,0:00+1,0.4054
2025-01-03 00:10:00,2025-01-03,00:10:00,0.4323
2025-01-03 00:20:00,2025-01-03,00:20:00,0.4274
2025-01-03 00:30:00,2025-01-03,00:30:00,0.3899
2025-01-03 00:40:00,2025-01-03,00:40:00,0.3911
