slot,source_time,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,x_kwh,y_kwh,q_kwh,z_kwh,soc_kwh,soc_previous_kwh,grid_purchase_kwh,charge_input_kwh,battery_charge_kwh,battery_discharge_kwh,supply_surplus_kwh,cost_yuan,throughput_kwh
1,00:10:00,0.4248,3439.8466,0.0,573.3077666666666,0.0,833.3333333333339,573.3077666666666,0.0,0.0,6750.0,6000.0,1406.6411000000005,833.3333333333339,750.0000000000006,0.0,0.0,597.5411392800003,750.0000000000006
2,00:20:00,0.4245,3437.9792,0.0,572.9965333333333,0.0,833.3333333333339,572.9965333333333,0.0,0.0,7500.0,6750.0,1406.3298666666674,833.3333333333339,750.0000000000006,0.0,0.0,596.9870284000003,750.0000000000006
3,00:30:00,0.4269,3444.3031,0.0,574.0505166666667,0.0,833.3333333333339,574.0505166666667,0.0,0.0,8250.0,7500.0,1407.3838500000006,833.3333333333339,750.0000000000006,0.0,0.0,600.8121655650002,750.0000000000006
4,00:40:00,0.4272,3454.4437,0.0,575.7406166666666,0.0,833.3333333333321,575.7406166666666,0.0,0.0,9000.0,8250.0,1409.0739499999986,833.3333333333321,749.999999999999,0.0,0.0,601.9563914399995,749.999999999999
5,00:50:00,0.4271,3458.8273,0.0,576.4712166666666,0.0,833.3333333333339,576.4712166666666,0.0,0.0,9750.0,9000.0,1409.8045500000005,833.3333333333339,750.0000000000006,0.0,0.0,602.1275233050002,750.0000000000006
6,01:00:00,0.4285,3459.8401,0.0,576.6400166666666,0.0,0.0,576.6400166666666,0.0,0.0,9750.0,9750.0,576.6400166666666,0.0,0.0,0.0,0.0,247.09024714166665,0.0
7,01:10:00,0.4311,3467.1582,0.0,577.8597,0.0,0.0,577.8597,0.0,0.0,9750.0,9750.0,577.8597,0.0,0.0,0.0,0.0,249.11531666999997,0.0
8,01:20:00,0.4302,3467.9632,0.0,577.9938666666667,0.0,0.0,577.9938666666667,0.0,0.0,9750.0,9750.0,577.9938666666667,0.0,0.0,0.0,0.0,248.65296144,0.0
9,01:30:00,0.4279,3466.9683,0.0,577.82805,0.0,333.33333333333394,577.82805,0.0,0.0,10050.0,9750.0,911.1613833333339,333.33333333333394,300.00000000000057,0.0,0.0,389.8859559283336,300.00000000000057
10,01:40:00,0.4312,3482.4927,0.0,580.41545,0.0,0.0,580.41545,0.0,0.0,10050.0,10050.0,580.41545,0.0,0.0,0.0,0.0,250.27514204,0.0
11,01:50:00,0.4333,3495.0841,0.0,582.5140166666666,0.0,0.0,582.5140166666666,0.0,0.0,10050.0,10050.0,582.5140166666666,0.0,0.0,0.0,0.0,252.40332342166667,0.0
12,02:00:00,0.4311,3498.4443,0.0,583.0740499999999,0.0,0.0,583.0740499999999,0.0,0.0,10050.0,10050.0,583.0740499999999,0.0,0.0,0.0,0.0,251.36322295499997,0.0
13,02:10:00,0.4293,3505.2295,0.0,584.2049166666666,0.0,0.0,584.2049166666666,0.0,0.0,10050.0,10050.0,584.2049166666666,0.0,0.0,0.0,0.0,250.79917072499998,0.0
14,02:20:00,0.4324,3512.6387,0.0,585.4397833333333,0.0,0.0,585.4397833333333,0.0,0.0,10050.0,10050.0,585.4397833333333,0.0,0.0,0.0,0.0,253.1441623133333,0.0
15,02:30:00,0.4367,3516.8685,0.0,586.1447499999999,0.0,0.0,586.1447499999999,0.0,0.0,10050.0,10050.0,586.1447499999999,0.0,0.0,0.0,0.0,255.96941232499995,0.0
16,02:40:00,0.4348,3517.9246,0.0,586.3207666666666,0.0,0.0,586.3207666666666,0.0,0.0,10050.0,10050.0,586.3207666666666,0.0,0.0,0.0,0.0,254.93226934666666,0.0
17,02:50:00,0.4335,3518.5518,0.0,586.4253,0.0,0.0,586.4253,0.0,0.0,10050.0,10050.0,586.4253,0.0,0.0,0.0,0.0,254.21536755,0.0
18,03:00:00,0.4357,3521.0976,0.0,586.8496,0.0,0.0,586.8496,0.0,0.0,10050.0,10050.0,586.8496,0.0,0.0,0.0,0.0,255.69037072,0.0
19,03:10:00,0.4374,3526.9261,0.0,587.8210166666667,0.0,0.0,587.8210166666667,0.0,0.0,10050.0,10050.0,587.8210166666667,0.0,0.0,0.0,0.0,257.11291269,0.0
