Hour,Region,TaskType,GPU_Demand
0,RegionA,RealTimeInference,9
0,RegionA,BatchInference,22
0,RegionA,AITraining,0
0,RegionB,RealTimeInference,12
0,RegionB,BatchInference,0
0,RegionB,AITraining,85
0,RegionC,RealTimeInference,4
0,RegionC,BatchInference,13
0,RegionC,AITraining,0
0,RegionD,RealTimeInference,0
0,RegionD,BatchInference,0
0,RegionD,AITraining,312
0,RegionE,RealTimeInference,0
0,RegionE,BatchInference,23
0,RegionE,AITraining,61
0,RegionF,RealTimeInference,0
0,RegionF,BatchInference,0
0,RegionF,AITraining,116
1,RegionA,RealTimeInference,2
1,RegionA,BatchInference,22
1,RegionA,AITraining,0
1,RegionB,RealTimeInference,9
1,RegionB,BatchInference,0
1,RegionB,AITraining,0
1,RegionC,RealTimeInference,0
1,RegionC,BatchInference,17
1,RegionC,AITraining,177
1,RegionD,RealTimeInference,4
1,RegionD,BatchInference,16
1,RegionD,AITraining,173
1,RegionE,RealTimeInference,0
1,RegionE,BatchInference,0
1,RegionE,AITraining,139
1,RegionF,RealTimeInference,0
1,RegionF,BatchInference,0
1,RegionF,AITraining,194
2,RegionA,RealTimeInference,17
2,RegionA,BatchInference,26
2,RegionA,AITraining,0
2,RegionB,RealTimeInference,15
2,RegionB,BatchInference,38
2,RegionB,AITraining,139
2,RegionC,RealTimeInference,1
2,RegionC,BatchInference,16
2,RegionC,AITraining,0
2,RegionD,RealTimeInference,0
2,RegionD,BatchInference,59
2,RegionD,AITraining,308
2,RegionE,RealTimeInference,0
2,RegionE,BatchInference,23
2,RegionE,AITraining,73
2,RegionF,RealTimeInference,0
2,RegionF,BatchInference,0
2,RegionF,AITraining,194
3,RegionA,RealTimeInference,23
3,RegionA,BatchInference,18
3,RegionA,AITraining,0
3,RegionB,RealTimeInference,7
3,RegionB,BatchInference,28
3,RegionB,AITraining,59
3,RegionC,RealTimeInference,0
3,RegionC,BatchInference,0
3,RegionC,AITraining,0
3,RegionD,RealTimeInference,0
3,RegionD,BatchInference,21
3,RegionD,AITraining,93
3,RegionE,RealTimeInference,0
3,RegionE,BatchInference,9
3,RegionE,AITraining,156
3,RegionF,RealTimeInference,0
3,RegionF,BatchInference,0
3,RegionF,AITraining,118
4,RegionA,RealTimeInference,11
4,RegionA,BatchInference,18
4,RegionA,AITraining,0
4,RegionB,RealTimeInference,2
4,RegionB,BatchInference,42
4,RegionB,AITraining,0
4,RegionC,RealTimeInference,5
4,RegionC,BatchInference,12
4,RegionC,AITraining,0
4,RegionD,RealTimeInference,0
4,RegionD,BatchInference,0
4,RegionD,AITraining,147
4,RegionE,RealTimeInference,0
4,RegionE,BatchInference,0
4,RegionE,AITraining,191
4,RegionF,RealTimeInference,0
4,RegionF,BatchInference,10
4,RegionF,AITraining,0
5,RegionA,RealTimeInference,15
5,RegionA,BatchInference,0
5,RegionA,AITraining,0
5,RegionB,RealTimeInference,7
5,RegionB,BatchInference,0
5,RegionB,AITraining,0
5,RegionC,RealTimeInference,3
5,RegionC,BatchInference,36
5,RegionC,AITraining,0
5,RegionD,RealTimeInference,3
5,RegionD,BatchInference,6
5,RegionD,AITraining,163
5,RegionE,RealTimeInference,3
5,RegionE,BatchInference,12
5,RegionE,AITraining,56
5,RegionF,RealTimeInference,0
5,RegionF,BatchInference,6
5,RegionF,AITraining,145
6,RegionA,RealTimeInference,7
6,RegionA,BatchInference,0
6,RegionA,AITraining,0
6,RegionB,RealTimeInference,27
6,RegionB,BatchInference,57
6,RegionB,AITraining,0
6,RegionC,RealTimeInference,8
6,RegionC,BatchInference,6
6,RegionC,AITraining,86
6,RegionD,RealTimeInference,0
6,RegionD,BatchInference,0
6,RegionD,AITraining,124
6,RegionE,RealTimeInference,0
6,RegionE,BatchInference,0
6,RegionE,AITraining,0
6,RegionF,RealTimeInference,0
6,RegionF,BatchInference,9
6,RegionF,AITraining,139
7,RegionA,RealTimeInference,6
7,RegionA,BatchInference,14
7,RegionA,AITraining,18
7,RegionB,RealTimeInference,2
7,RegionB,BatchInference,18
7,RegionB,AITraining,21
7,RegionC,RealTimeInference,0
7,RegionC,BatchInference,0
7,RegionC,AITraining,107
7,RegionD,RealTimeInference,0
7,RegionD,BatchInference,11
7,RegionD,AITraining,293
7,RegionE,RealTimeInference,0
7,RegionE,BatchInference,20
7,RegionE,AITraining,170
7,RegionF,RealTimeInference,0
7,RegionF,BatchInference,37
7,RegionF,AITraining,53
8,RegionA,RealTimeInference,6
8,RegionA,BatchInference,22
8,RegionA,AITraining,80
8,RegionB,RealTimeInference,22
8,RegionB,BatchInference,0
8,RegionB,AITraining,31
8,RegionC,RealTimeInference,21
8,RegionC,BatchInference,0
8,RegionC,AITraining,0
8,RegionD,RealTimeInference,0
8,RegionD,BatchInference,0
8,RegionD,AITraining,147
8,RegionE,RealTimeInference,4
8,RegionE,BatchInference,11
8,RegionE,AITraining,90
8,RegionF,RealTimeInference,0
8,RegionF,BatchInference,13
8,RegionF,AITraining,129
9,RegionA,RealTimeInference,0
9,RegionA,BatchInference,0
9,RegionA,AITraining,0
9,RegionB,RealTimeInference,19
9,RegionB,BatchInference,23
9,RegionB,AITraining,0
9,RegionC,RealTimeInference,0
9,RegionC,BatchInference,29
9,RegionC,AITraining,0
9,RegionD,RealTimeInference,0
9,RegionD,BatchInference,12
9,RegionD,AITraining,107
9,RegionE,RealTimeInference,5
9,RegionE,BatchInference,34
9,RegionE,AITraining,120
9,RegionF,RealTimeInference,0
9,RegionF,BatchInference,10
9,RegionF,AITraining,0
10,RegionA,RealTimeInference,5
10,RegionA,BatchInference,0
10,RegionA,AITraining,0
10,RegionB,RealTimeInference,14
10,RegionB,BatchInference,7
10,RegionB,AITraining,0
10,RegionC,RealTimeInference,2
10,RegionC,BatchInference,31
10,RegionC,AITraining,0
10,RegionD,RealTimeInference,0
10,RegionD,BatchInference,0
10,RegionD,AITraining,123
10,RegionE,RealTimeInference,0
10,RegionE,BatchInference,48
10,RegionE,AITraining,280
10,RegionF,RealTimeInference,0
10,RegionF,BatchInference,0
10,RegionF,AITraining,290
11,RegionA,RealTimeInference,13
11,RegionA,BatchInference,16
11,RegionA,AITraining,0
11,RegionB,RealTimeInference,12
11,RegionB,BatchInference,23
11,RegionB,AITraining,0
11,RegionC,RealTimeInference,11
11,RegionC,BatchInference,10
11,RegionC,AITraining,0
11,RegionD,RealTimeInference,0
11,RegionD,BatchInference,67
11,RegionD,AITraining,234
11,RegionE,RealTimeInference,0
11,RegionE,BatchInference,21
11,RegionE,AITraining,0
11,RegionF,RealTimeInference,0
11,RegionF,BatchInference,24
11,RegionF,AITraining,238
12,RegionA,RealTimeInference,6
12,RegionA,BatchInference,16
12,RegionA,AITraining,0
12,RegionB,RealTimeInference,7
12,RegionB,BatchInference,0
12,RegionB,AITraining,119
12,RegionC,RealTimeInference,7
12,RegionC,BatchInference,17
12,RegionC,AITraining,49
12,RegionD,RealTimeInference,0
12,RegionD,BatchInference,20
12,RegionD,AITraining,100
12,RegionE,RealTimeInference,0
12,RegionE,BatchInference,20
12,RegionE,AITraining,107
12,RegionF,RealTimeInference,8
12,RegionF,BatchInference,17
12,RegionF,AITraining,0
13,RegionA,RealTimeInference,7
13,RegionA,BatchInference,56
13,RegionA,AITraining,45
13,RegionB,RealTimeInference,2
13,RegionB,BatchInference,28
13,RegionB,AITraining,0
13,RegionC,RealTimeInference,6
13,RegionC,BatchInference,40
13,RegionC,AITraining,28
13,RegionD,RealTimeInference,0
13,RegionD,BatchInference,25
13,RegionD,AITraining,0
13,RegionE,RealTimeInference,0
13,RegionE,BatchInference,12
13,RegionE,AITraining,281
13,RegionF,RealTimeInference,4
13,RegionF,BatchInference,0
13,RegionF,AITraining,219
14,RegionA,RealTimeInference,17
14,RegionA,BatchInference,0
14,RegionA,AITraining,0
14,RegionB,RealTimeInference,21
14,RegionB,BatchInference,5
14,RegionB,AITraining,0
14,RegionC,RealTimeInference,15
14,RegionC,BatchInference,0
14,RegionC,AITraining,0
14,RegionD,RealTimeInference,2
14,RegionD,BatchInference,16
14,RegionD,AITraining,230
14,RegionE,RealTimeInference,0
14,RegionE,BatchInference,16
14,RegionE,AITraining,147
14,RegionF,RealTimeInference,0
14,RegionF,BatchInference,22
14,RegionF,AITraining,92
15,RegionA,RealTimeInference,13
15,RegionA,BatchInference,0
15,RegionA,AITraining,0
15,RegionB,RealTimeInference,28
15,RegionB,BatchInference,7
15,RegionB,AITraining,98
15,RegionC,RealTimeInference,15
15,RegionC,BatchInference,37
15,RegionC,AITraining,0
15,RegionD,RealTimeInference,0
15,RegionD,BatchInference,0
15,RegionD,AITraining,267
15,RegionE,RealTimeInference,3
15,RegionE,BatchInference,22
15,RegionE,AITraining,65
15,RegionF,RealTimeInference,0
15,RegionF,BatchInference,23
15,RegionF,AITraining,211
16,RegionA,RealTimeInference,9
16,RegionA,BatchInference,39
16,RegionA,AITraining,50
