Hour,Region,GPU_Demand
0,RegionA,31
0,RegionB,97
0,RegionC,17
0,RegionD,312
0,RegionE,84
0,RegionF,116
1,RegionA,24
1,RegionB,9
1,RegionC,194
1,RegionD,193
1,RegionE,139
1,RegionF,194
2,RegionA,43
2,RegionB,192
2,RegionC,17
2,RegionD,367
2,RegionE,96
2,RegionF,194
3,RegionA,41
3,RegionB,94
3,RegionC,0
3,RegionD,114
3,RegionE,165
3,RegionF,118
4,RegionA,29
4,RegionB,44
4,RegionC,17
4,RegionD,147
4,RegionE,191
4,RegionF,10
5,RegionA,15
5,RegionB,7
5,RegionC,39
5,RegionD,172
5,RegionE,71
5,RegionF,151
6,RegionA,7
6,RegionB,84
6,RegionC,100
6,RegionD,124
6,RegionE,0
6,RegionF,148
7,RegionA,38
7,RegionB,41
7,RegionC,107
7,RegionD,304
7,RegionE,190
7,RegionF,90
8,RegionA,108
8,RegionB,53
8,RegionC,21
8,RegionD,147
8,RegionE,105
8,RegionF,142
9,RegionA,0
9,RegionB,42
9,RegionC,29
9,RegionD,119
9,RegionE,159
9,RegionF,10
10,RegionA,5
10,RegionB,21
10,RegionC,33
10,RegionD,123
10,RegionE,328
10,RegionF,290
11,RegionA,29
11,RegionB,35
11,RegionC,21
11,RegionD,301
11,RegionE,21
11,RegionF,262
12,RegionA,22
12,RegionB,126
12,RegionC,73
12,RegionD,120
12,RegionE,127
12,RegionF,25
13,RegionA,108
13,RegionB,30
13,RegionC,74
13,RegionD,25
13,RegionE,293
13,RegionF,223
14,RegionA,17
14,RegionB,26
14,RegionC,15
14,RegionD,248
14,RegionE,163
14,RegionF,114
15,RegionA,13
15,RegionB,133
15,RegionC,52
15,RegionD,267
15,RegionE,90
15,RegionF,234
16,RegionA,98
16,RegionB,152
16,RegionC,15
16,RegionD,6
16,RegionE,23
16,RegionF,0
17,RegionA,28
17,RegionB,91
17,RegionC,29
17,RegionD,93
17,RegionE,220
17,RegionF,373
18,RegionA,70
18,RegionB,132
18,RegionC,95
18,RegionD,176
18,RegionE,0
18,RegionF,130
19,RegionA,302
19,RegionB,167
19,RegionC,24
19,RegionD,216
19,RegionE,45
19,RegionF,75
20,RegionA,41
20,RegionB,77
20,RegionC,5
20,RegionD,177
20,RegionE,125
20,RegionF,152
21,RegionA,85
21,RegionB,172
21,RegionC,13
21,RegionD,95
21,RegionE,334
21,RegionF,406
22,RegionA,20
22,RegionB,19
22,RegionC,59
22,RegionD,135
22,RegionE,0
22,RegionF,16
23,RegionA,127
23,RegionB,37
23,RegionC,16
23,RegionD,106
23,RegionE,17
23,RegionF,132
24,RegionA,27
24,RegionB,16
24,RegionC,0
24,RegionD,191
24,RegionE,100
24,RegionF,342
25,RegionA,11
25,RegionB,154
25,RegionC,9
25,RegionD,0
25,RegionE,170
25,RegionF,61
26,RegionA,14
26,RegionB,5
26,RegionC,97
26,RegionD,100
26,RegionE,160
26,RegionF,312
27,RegionA,12
27,RegionB,37
27,RegionC,124
27,RegionD,187
27,RegionE,124
27,RegionF,243
28,RegionA,31
28,RegionB,23
28,RegionC,45
28,RegionD,556
28,RegionE,191
28,RegionF,350
29,RegionA,135
29,RegionB,10
29,RegionC,47
29,RegionD,353
29,RegionE,351
29,RegionF,128
30,RegionA,164
30,RegionB,117
30,RegionC,8
30,RegionD,31
30,RegionE,76
30,RegionF,0
31,RegionA,86
31,RegionB,20
31,RegionC,11
31,RegionD,39
31,RegionE,22
31,RegionF,0
32,RegionA,4
32,RegionB,69
32,RegionC,239
32,RegionD,179
32,RegionE,236
32,RegionF,478
33,RegionA,67
33,RegionB,6
33,RegionC,83
33,RegionD,63
33,RegionE,335
33,RegionF,177
34,RegionA,91
34,RegionB,39
34,RegionC,160
34,RegionD,307
34,RegionE,318
34,RegionF,225
35,RegionA,21
35,RegionB,8
35,RegionC,54
35,RegionD,222
35,RegionE,102
35,RegionF,16
36,RegionA,93
36,RegionB,91
36,RegionC,12
36,RegionD,364
36,RegionE,0
36,RegionF,131
37,RegionA,83
37,RegionB,32
37,RegionC,39
37,RegionD,82
37,RegionE,150
37,RegionF,118
38,RegionA,5
38,RegionB,29
38,RegionC,130
38,RegionD,66
38,RegionE,264
38,RegionF,48
39,RegionA,68
39,RegionB,26
39,RegionC,19
39,RegionD,194
39,RegionE,127
39,RegionF,97
40,RegionA,38
40,RegionB,15
40,RegionC,31
40,RegionD,157
40,RegionE,13
40,RegionF,465
41,RegionA,34
41,RegionB,55
41,RegionC,193
41,RegionD,144
41,RegionE,126
41,RegionF,112
42,RegionA,54
42,RegionB,9
42,RegionC,17
42,RegionD,74
42,RegionE,146
42,RegionF,173
43,RegionA,75
43,RegionB,72
43,RegionC,162
43,RegionD,149
43,RegionE,52
43,RegionF,75
44,RegionA,112
44,RegionB,89
44,RegionC,61
44,RegionD,396
44,RegionE,133
44,RegionF,125
45,RegionA,30
45,RegionB,23
45,RegionC,33
45,RegionD,103
45,RegionE,209
45,RegionF,106
46,RegionA,74
46,RegionB,13
46,RegionC,43
46,RegionD,24
46,RegionE,147
46,RegionF,117
47,RegionA,84
47,RegionB,38
47,RegionC,0
47,RegionD,24
47,RegionE,204
47,RegionF,35
48,RegionA,74
48,RegionB,80
48,RegionC,108
48,RegionD,140
48,RegionE,219
48,RegionF,179
49,RegionA,25
49,RegionB,68
49,RegionC,135
49,RegionD,259
49,RegionE,64
49,RegionF,113
50,RegionA,104
50,RegionB,35
50,RegionC,13
50,RegionD,86
50,RegionE,157
50,RegionF,93
51,RegionA,98
51,RegionB,38
51,RegionC,124
51,RegionD,41
51,RegionE,5
51,RegionF,266
52,RegionA,34
52,RegionB,28
52,RegionC,14
52,RegionD,31
52,RegionE,117
52,RegionF,71
53,RegionA,21
53,RegionB,19
53,RegionC,41
53,RegionD,365
53,RegionE,328
53,RegionF,76
54,RegionA,28
54,RegionB,51
54,RegionC,33
54,RegionD,129
54,RegionE,7
54,RegionF,289
55,RegionA,12
55,RegionB,119
55,RegionC,12
55,RegionD,151
55,RegionE,224
55,RegionF,5
56,RegionA,20
56,RegionB,21
56,RegionC,50
56,RegionD,265
56,RegionE,157
56,RegionF,23
57,RegionA,48
57,RegionB,110
57,RegionC,29
57,RegionD,385
57,RegionE,41
57,RegionF,250
58,RegionA,51
58,RegionB,36
58,RegionC,138
58,RegionD,355
58,RegionE,12
58,RegionF,42
59,RegionA,0
59,RegionB,29
59,RegionC,21
59,RegionD,52
59,RegionE,33
59,RegionF,7
60,RegionA,15
60,RegionB,47
60,RegionC,117
60,RegionD,246
60,RegionE,97
60,RegionF,24
61,RegionA,27
61,RegionB,43
61,RegionC,20
61,RegionD,337
61,RegionE,188
61,RegionF,242
62,RegionA,127
62,RegionB,47
62,RegionC,0
62,RegionD,201
62,RegionE,6
62,RegionF,132
63,RegionA,138
63,RegionB,21
63,RegionC,25
63,RegionD,419
63,RegionE,96
63,RegionF,46
64,RegionA,20
64,RegionB,24
64,RegionC,78
64,RegionD,224
64,RegionE,0
64,RegionF,123
65,RegionA,9
65,RegionB,21
65,RegionC,5
65,RegionD,180
65,RegionE,83
65,RegionF,115
66,RegionA,160
66,RegionB,15
66,RegionC,21
66,RegionD,370
66,RegionE,60
66,RegionF,146
67,RegionA,138
67,RegionB,19
67,RegionC,74
67,RegionD,210
67,RegionE,83
67,RegionF,240
68,RegionA,14
68,RegionB,6
68,RegionC,36
68,RegionD,133
68,RegionE,97
68,RegionF,0
69,RegionA,107
69,RegionB,123
69,RegionC,32
69,RegionD,319
69,RegionE,310
69,RegionF,193
70,RegionA,44
70,RegionB,35
70,RegionC,111
70,RegionD,0
70,RegionE,229
70,RegionF,40
71,RegionA,52
71,RegionB,23
71,RegionC,71
71,RegionD,26
71,RegionE,159
71,RegionF,318
72,RegionA,125
72,RegionB,24
72,RegionC,33
72,RegionD,122
72,RegionE,72
72,RegionF,123
73,RegionA,58
73,RegionB,26
73,RegionC,27
73,RegionD,18
73,RegionE,172
73,RegionF,95
74,RegionA,25
74,RegionB,48
74,RegionC,30
74,RegionD,380
74,RegionE,375
74,RegionF,6
75,RegionA,7
75,RegionB,22
75,RegionC,29
75,RegionD,330
75,RegionE,235
75,RegionF,251
76,RegionA,25
76,RegionB,6
76,RegionC,28
76,RegionD,322
76,RegionE,170
76,RegionF,98
77,RegionA,197
77,RegionB,20
77,RegionC,75
77,RegionD,128
77,RegionE,14
77,RegionF,205
78,RegionA,51
78,RegionB,12
78,RegionC,4
78,RegionD,160
78,RegionE,112
78,RegionF,0
79,RegionA,33
79,RegionB,37
79,RegionC,146
79,RegionD,5
79,RegionE,117
79,RegionF,62
80,RegionA,0
80,RegionB,88
80,RegionC,47
80,RegionD,137
80,RegionE,33
80,RegionF,194
81,RegionA,68
81,RegionB,6
81,RegionC,28
81,RegionD,92
81,RegionE,168
81,RegionF,25
82,RegionA,118
82,RegionB,91
82,RegionC,50
82,RegionD,242
82,RegionE,126
82,RegionF,116
83,RegionA,63
83,RegionB,156
83,RegionC,91
83,RegionD,70
83,RegionE,133
83,RegionF,114
84,RegionA,25
84,RegionB,107
84,RegionC,9
84,RegionD,215
84,RegionE,109
84,RegionF,116
85,RegionA,21
85,RegionB,19
85,RegionC,183
85,RegionD,58
85,RegionE,0
85,RegionF,122
86,RegionA,36
86,RegionB,39
86,RegionC,7
86,RegionD,100
86,RegionE,120
86,RegionF,78
87,RegionA,19
87,RegionB,72
87,RegionC,125
87,RegionD,29
87,RegionE,330
87,RegionF,158
88,RegionA,25
88,RegionB,40
88,RegionC,185
88,RegionD,278
88,RegionE,98
88,RegionF,54
89,RegionA,69
89,RegionB,22
89,RegionC,16
89,RegionD,175
89,RegionE,229
89,RegionF,59
90,RegionA,31
90,RegionB,20
90,RegionC,6
90,RegionD,107
90,RegionE,128
90,RegionF,123
91,RegionA,138
91,RegionB,47
91,RegionC,9
91,RegionD,216
91,RegionE,9
91,RegionF,154
92,RegionA,47
92,RegionB,19
92,RegionC,22
92,RegionD,265
92,RegionE,467
92,RegionF,18
93,RegionA,51
93,RegionB,10
93,RegionC,41
93,RegionD,60
93,RegionE,84
93,RegionF,29
94,RegionA,65
94,RegionB,18
94,RegionC,60
94,RegionD,278
94,RegionE,86
94,RegionF,128
95,RegionA,8
95,RegionB,125
95,RegionC,59
95,RegionD,229
95,RegionE,327
95,RegionF,177
96,RegionA,11
96,RegionB,102
96,RegionC,43
96,RegionD,279
96,RegionE,8
96,RegionF,64
97,RegionA,52
97,RegionB,36
97,RegionC,47
97,RegionD,144
97,RegionE,71
97,RegionF,389
98,RegionA,47
98,RegionB,5
98,RegionC,30
98,RegionD,106
98,RegionE,126
98,RegionF,111
99,RegionA,21
99,RegionB,19
99,RegionC,44
99,RegionD,67
99,RegionE,113
99,RegionF,13
100,RegionA,15
100,RegionB,105
100,RegionC,13
100,RegionD,102
100,RegionE,0
100,RegionF,35
101,RegionA,44
101,RegionB,14
101,RegionC,23
101,RegionD,158
101,RegionE,184
101,RegionF,23
102,RegionA,197
102,RegionB,33
102,RegionC,0
102,RegionD,144
102,RegionE,23
102,RegionF,138
103,RegionA,32
103,RegionB,26
