Hour,GPU_Demand
0,657
1,753
2,909
3,532
4,438
5,455
6,463
7,770
8,576
9,359
10,800
11,669
12,493
13,753
14,583
15,789
16,294
17,834
18,603
19,829
20,577
21,1105
22,249
23,435
24,676
25,405
26,688
27,727
28,1196
29,1024
30,396
31,178
32,1205
33,731
34,1140
35,423
36,691
37,504
38,542
39,531
40,719
41,664
42,473
43,585
44,916
45,504
46,418
47,385
48,800
49,664
50,488
51,572
52,295
53,850
54,537
55,523
56,536
57,863
58,634
59,142
60,546
61,857
62,513
63,745
64,469
65,413
66,772
67,764
68,286
69,1084
70,459
71,649
72,499
73,396
74,864
75,874
76,649
77,639
78,339
79,400
80,499
81,387
82,743
83,627
84,581
85,403
86,380
87,733
88,680
89,570
90,415
91,573
92,838
93,275
94,635
95,925
96,507
97,739
98,425
99,277
100,270
101,446
102,535
103,532
104,837
105,506
106,202
107,590
108,533
109,933
110,734
111,517
112,875
113,370
114,804
115,786
116,741
117,580
118,644
119,774
120,759
121,907
122,815
123,736
124,899
125,441
126,713
127,848
128,568
129,499
130,193
131,678
132,605
133,944
134,473
135,618
136,400
137,548
138,657
139,529
140,651
141,656
142,466
143,378
144,859
145,476
146,594
147,950
148,806
149,562
150,680
151,705
152,986
153,710
154,709
155,275
156,541
157,552
158,731
159,542
160,432
161,898
162,353
163,688
164,484
165,646
166,804
167,283
168,834
169,438
170,1080
171,793
172,484
173,773
174,560
175,724
176,363
177,474
178,458
179,600
180,617
181,580
182,697
183,822
184,927
185,570
186,328
187,577
188,734
189,491
190,813
191,601
192,996
193,491
194,626
195,1023
196,509
197,592
198,514
199,797
200,427
201,682
202,790
203,398
204,699
205,587
206,543
207,262
208,573
209,508
210,661
211,418
212,785
213,564
214,693
215,670
216,526
217,866
218,865
219,943
220,671
221,540
222,716
223,928
224,712
225,451
226,641
227,882
228,1005
229,1121
230,560
231,287
232,761
233,626
234,330
235,1046
236,842
237,403
238,472
239,363
240,666
241,710
242,535
243,772
244,568
245,828
246,674
247,512
248,332
249,721
250,1001
251,538
252,731
253,842
254,357
255,870
256,277
257,570
258,884
259,771
260,858
261,512
262,494
263,616
264,342
265,716
266,1016
267,516
268,564
269,602
270,997
271,992
272,354
273,705
274,263
275,1127
276,503
277,514
278,751
279,671
280,547
281,630
282,601
283,541
284,559
285,305
286,427
287,483
288,713
289,644
290,995
291,278
292,876
293,656
294,643
295,387
296,167
297,475
298,517
299,721
300,469
301,791
302,418
303,589
304,821
305,789
306,447
307,537
308,875
309,355
310,291
311,572
312,494
313,662
314,1313
315,793
316,608
317,742
318,1095
319,532
320,659
321,708
322,637
323,527
324,515
325,804
326,588
327,913
328,841
329,734
330,525
331,593
332,228
333,666
334,648
335,546
336,340
337,560
338,708
339,373
340,177
341,648
342,1138
343,404
344,547
345,543
346,870
347,933
348,741
349,569
350,584
351,754
352,337
353,656
354,503
355,517
356,866
357,453
358,548
359,557
360,666
361,543
362,659
363,505
364,625
365,687
366,668
367,525
368,458
369,832
370,682
371,702
372,429
373,431
374,330
375,567
376,288
377,486
378,381
379,591
380,947
381,547
382,1095
383,802
384,432
385,439
386,413
387,620
388,700
389,494
390,567
391,749
392,695
393,900
394,761
395,440
396,379
397,348
398,542
399,561
400,926
401,491
402,715
403,682
404,373
405,710
406,716
407,442
408,827
409,713
410,747
411,828
412,348
413,865
414,990
415,361
416,453
417,559
418,486
419,614
420,511
421,606
422,733
423,705
424,806
425,639
426,489
427,501
428,583
429,840
430,776
431,514
432,783
433,575
434,825
435,844
436,419
437,753
438,653
439,481
440,658
441,888
442,711
443,329
444,529
445,1066
446,418
447,941
448,413
449,690
450,324
451,524
452,524
453,907
454,557
455,640
456,451
457,319
458,194
459,579
460,654
461,330
462,712
463,198
464,670
465,611
466,466
467,648
468,430
469,787
470,425
471,846
472,548
473,355
474,882
475,504
476,702
477,667
478,230
479,390
480,833
481,849
482,710
483,433
484,1048
485,308
486,672
487,552
488,388
489,515
490,738
491,494
492,540
493,629
494,550
495,628
496,387
497,576
498,290
499,549
500,554
501,611
502,248
503,942
504,390
505,891
506,677
507,835
508,607
509,619
510,952
511,424
512,799
513,293
514,323
515,545
516,449
517,661
518,643
519,741
520,578
521,653
522,818
523,342
524,308
525,670
526,681
527,735
528,437
529,737
530,522
531,1161
532,531
533,408
534,674
535,714
536,495
537,534
538,434
539,951
540,492
541,565
542,360
543,1277
544,613
545,707
546,495
547,677
548,686
549,614
550,556
551,539
552,276
553,857
554,672
555,744
556,991
557,413
558,470
559,394
560,566
561,498
562,672
563,772
564,496
565,895
566,446
567,438
568,706
569,166
570,580
571,776
572,729
573,804
574,375
575,739
576,413
577,618
578,240
579,577
580,422
581,396
