ExcelRow,Hour,Region,GPU_Utilization_Percent
1381,229,RegionF,135.583161
12066,2010,RegionE,135.454545
1375,228,RegionF,123.719807
1387,230,RegionF,123.100414
5473,911,RegionF,117.97274
9949,1657,RegionF,117.049689
9955,1658,RegionF,112.786404
7111,1184,RegionF,111.903037
5479,912,RegionF,110.752243
3276,545,RegionE,110.586298
3288,547,RegionE,110.433136
1320,219,RegionE,110.352437
2167,360,RegionF,110.13285
11590,1931,RegionC,109.966049
9961,1659,RegionF,109.796411
11584,1930,RegionC,108.518519
14287,2380,RegionF,108.512767
13891,2314,RegionF,107.934783
14178,2362,RegionE,107.187088
13897,2315,RegionF,106.720152
175,28,RegionF,105.962733
3294,548,RegionE,104.93083
7105,1183,RegionF,104.202899
14335,2388,RegionF,104.192547
3300,549,RegionE,103.507905
7117,1185,RegionF,103.236715
2173,361,RegionF,103.00207
5724,953,RegionE,102.926548
12060,2009,RegionE,102.910079
10843,1806,RegionF,102.779503
2929,487,RegionF,102.593168
4195,698,RegionF,102.249827
14293,2381,RegionF,102.120428
2377,395,RegionF,102.101449
5950,991,RegionC,101.867284
14112,2351,RegionE,101.790184
12072,2011,RegionE,101.646904
5173,861,RegionF,100.900621
12585,2097,RegionB,100.888889
6655,1108,RegionF,100.883368
5718,952,RegionE,100.841568
2143,356,RegionF,100.26225
2303,383,RegionD,100.226449
8209,1367,RegionF,100.165631
