Level,Region,TaskType,count,mean,std,min,median,max,sum,zero_ratio
system,,,2400,614.0058333333334,208.40989251785905,74.0,593.0,1313.0,1473614.0,0.0
region,RegionA,,2400,54.88375,51.72529428887605,0.0,36.0,355.0,131721.0,0.015833333333333335
region,RegionB,,2400,52.839166666666664,50.36953410517336,0.0,35.0,360.0,126814.0,0.02125
region,RegionC,,2400,46.093333333333334,48.103088489433006,0.0,28.0,309.0,110624.0,0.03916666666666667
region,RegionD,,2400,189.56958333333333,125.41439706625813,0.0,169.5,700.0,454967.0,0.017083333333333332
region,RegionE,,2400,135.07333333333332,102.54245684376572,0.0,120.0,533.0,324176.0,0.057916666666666665
region,RegionF,,2400,135.54666666666665,104.73406556077583,0.0,119.0,723.0,325312.0,0.06208333333333333
task_type,,RealTimeInference,2400,28.0025,12.0618542141469,0.0,27.0,77.0,67206.0,0.0008333333333333334
task_type,,BatchInference,2400,94.1925,37.832806888774904,0.0,91.0,234.0,226062.0,0.0004166666666666667
task_type,,AITraining,2400,491.81083333333333,205.36802140540826,0.0,477.0,1211.0,1180346.0,0.00125
region_task_type,RegionA,RealTimeInference,2400,9.827083333333333,7.018880477663244,0.0,9.0,44.0,23585.0,0.08208333333333333
region_task_type,RegionA,BatchInference,2400,18.7775,17.383818924985,0.0,16.0,106.0,45066.0,0.24833333333333332
region_task_type,RegionA,AITraining,2400,26.279166666666665,47.81475956897503,0.0,0.0,312.0,63070.0,0.6954166666666667
region_task_type,RegionB,RealTimeInference,2400,8.32875,6.393278249132704,0.0,7.0,40.0,19989.0,0.11166666666666666
region_task_type,RegionB,BatchInference,2400,18.4475,16.832228325942665,0.0,16.0,108.0,44274.0,0.24583333333333332
region_task_type,RegionB,AITraining,2400,26.062916666666666,47.08042542458301,0.0,0.0,338.0,62551.0,0.6925
region_task_type,RegionC,RealTimeInference,2400,7.089583333333334,5.868551055674268,0.0,6.0,39.0,17015.0,0.16791666666666666
region_task_type,RegionC,BatchInference,2400,14.4625,14.989505009061062,0.0,12.0,93.0,34710.0,0.33875
region_task_type,RegionC,AITraining,2400,24.54125,45.50698625966677,0.0,0.0,285.0,58899.0,0.70875
region_task_type,RegionD,RealTimeInference,2400,0.8304166666666667,2.042259735290516,0.0,0.0,18.0,1993.0,0.8120833333333334
region_task_type,RegionD,BatchInference,2400,18.87125,17.416745010788706,0.0,17.0,116.0,45291.0,0.2579166666666667
region_task_type,RegionD,AITraining,2400,169.86791666666667,124.58763838088588,0.0,150.0,673.0,407683.0,0.09916666666666667
region_task_type,RegionE,RealTimeInference,2400,1.095,2.3320538158455952,0.0,0.0,16.0,2628.0,0.7675
region_task_type,RegionE,BatchInference,2400,12.311666666666667,13.709316682055633,0.0,9.0,80.0,29548.0,0.39416666666666667
region_task_type,RegionE,AITraining,2400,121.66666666666667,101.2321493180677,0.0,108.0,517.0,292000.0,0.17666666666666667
region_task_type,RegionF,RealTimeInference,2400,0.8316666666666667,2.0422611379438123,0.0,0.0,16.0,1996.0,0.8145833333333333
region_task_type,RegionF,BatchInference,2400,11.322083333333333,13.327322023812169,0.0,7.0,85.0,27173.0,0.42291666666666666
region_task_type,RegionF,AITraining,2400,123.39291666666666,103.90681418059029,0.0,107.0,723.0,296143.0,0.17291666666666666
