lag_days,load_nmae,pv_nmae
1,0.1409207154325732,0.07726761053023236
2,0.2505463314552755,0.07848919263356609
3,0.2505087241591131,0.08070064403291975
4,0.25022294859029165,0.0819377623302271
5,0.24985249333845794,0.08432574270099548
6,0.14347224123408445,0.08668850987390807
7,0.03775391143626122,0.08974582663494281
8,0.14572259227890663,0.09159472033084741
9,0.2538184364062482,0.095012919569165
10,0.2535930426622129,0.09758496751098215
11,0.2533423710264087,0.09975795487527366
12,0.2529549270333607,0.10297921466970683
13,0.1484934070429661,0.10693386376167151
14,0.04484916299903193,0.11118869784901944
