Metric,Scope,Value
global_peak_gpu_utilization,overall,0.5622222222222547
mean_gpu_utilization,overall,0.4330300444570088
p95_gpu_utilization,overall,0.5611693444102231
mean_wait_hour,overall,0.0
on_time_finish_rate,overall,1.0
task_migration_rate,overall,0.7360594795539034
average_gpu_utilization,RegionA,0.40846450617284336
peak_gpu_utilization,RegionA,0.5621164021164254
region_inflow_count,RegionA,151.0
region_outflow_count,RegionA,27.0
average_gpu_utilization,RegionB,0.41479344729345896
peak_gpu_utilization,RegionB,0.5622222222222547
region_inflow_count,RegionB,50.0
region_outflow_count,RegionB,87.0
average_gpu_utilization,RegionC,0.391203703703716
peak_gpu_utilization,RegionC,0.5619753086420037
region_inflow_count,RegionC,38.0
region_outflow_count,RegionC,64.0
average_gpu_utilization,RegionD,0.4872277891002403
peak_gpu_utilization,RegionD,0.5617527173912942
region_inflow_count,RegionD,57.0
region_outflow_count,RegionD,72.0
average_gpu_utilization,RegionE,0.4612380599472988
peak_gpu_utilization,RegionE,0.5622035573122667
region_inflow_count,RegionE,46.0
region_outflow_count,RegionE,79.0
average_gpu_utilization,RegionF,0.4352527605244953
peak_gpu_utilization,RegionF,0.5617839889578456
region_inflow_count,RegionF,54.0
region_outflow_count,RegionF,67.0
mean_wait_hour,RealTimeInference,0.0
max_wait_hour,RealTimeInference,0.0
migration_rate,RealTimeInference,0.6
mean_wait_hour,BatchInference,0.0
max_wait_hour,BatchInference,0.0
migration_rate,BatchInference,0.782608695652174
mean_wait_hour,AITraining,0.0
max_wait_hour,AITraining,0.0
migration_rate,AITraining,0.8041237113402062
