date,selected_load_window,selected_pv_window,soc_start_kwh,soc_plan_end_kwh,soc_actual_end_kwh,planned_grid_purchase_kwh,emergency_purchase_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_secondary_throughput_kwh,actual_executed_throughput_kwh,actual_end_soc_deficit_kwh,actual_rolling_solve_count,rolling_primary_optimal_count,rolling_secondary_optimal_count,rolling_tertiary_optimal_count,rolling_terminal_gap_min_kwh,rolling_terminal_gap_max_kwh,rolling_terminal_gap_last_kwh,max_actual_executed_constraint_violation,max_rolling_constraint_violation,actual_optimize_seconds,actual_elapsed_seconds,max_plan_constraint_violation,max_actual_constraint_violation,simultaneous_plan_charge_discharge_slots,simultaneous_actual_charge_discharge_slots,risk_error_sample_min,risk_error_sample_max,plan_primary_status,plan_secondary_status,plan_primary_star,plan_primary_recomputed,plan_secondary_objective,plan_violation_nonnegative,plan_violation_soc_bounds,plan_violation_soc_recursion,plan_violation_soc_start_alignment,plan_violation_pv_allocation,plan_violation_charge_limit,plan_violation_discharge_limit,plan_violation_supply,plan_violation_primary_cost_preservation,plan_violation_secondary_objective,plan_violation_terminal_soc,plan_violation_planned_cost_column,plan_violation_grid_purchase_column,actual_violation_nonnegative,actual_violation_soc_bounds,actual_violation_soc_recursion,actual_violation_soc_start_alignment,actual_violation_pv_allocation,actual_violation_charge_limit,actual_violation_discharge_limit,actual_violation_supply,actual_violation_fixed_grid_purchase,actual_violation_planned_cost_column,actual_violation_emergency_cost_column,actual_violation_total_cost_column
2025-02-01,4,5,6000.0,6000.0,6002.314430403525,44450.97092428207,67.06747942791316,23188.32112475901,247.79954451887747,23436.120669277887,37836.58965109332,34128.569695939135,0.0,144,144,144,144,0.0,19.45744286426998,0.0,1.8189894035458565e-12,1.0000000116860974e-07,1.4003770000126678,2.6106416000002355,1.00000761449337e-07,1.8189894035458565e-12,0,0,2,2,optimal,optimal,23188.321124659014,23188.32112465903,37836.58965109332,0.0,0.0,1.3642420526593924e-12,0.0,0.0,0.0,0.0,0.0,1.00000761449337e-07,0.0,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,0.0,1.0547612166394377e-12,0.0,0.0,1.3642420526593924e-12,0.0,6.821210263296962e-13,0.0,0.0,0.0,2.842170943040401e-14
2025-02-02,4,5,6002.314430403525,6002.314430403525,6009.025703399262,90994.12004467391,4.677268475210477e-08,57652.428760691364,1e-07,57652.428760791365,44371.80801006853,38628.28812565689,0.0,144,144,144,144,0.0,0.0,0.0,9.094947017729282e-13,1.0000000472132342e-07,1.3812479000698659,2.5275869999968563,9.997893357649446e-08,9.094947017729282e-13,0,0,3,3,optimal,optimal,57652.42876059139,57652.4287605914,44371.80801006853,0.0,0.0,1.1084466677857563e-12,0.0,0.0,0.0,0.0,1.1368683772161603e-13,9.997893357649446e-08,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,8.983924715266767e-13,0.0,0.0,7.958078640513122e-13,0.0,2.2737367544323206e-13,0.0,0.0,0.0,2.248489181963623e-14
2025-02-03,3,5,6009.025703399262,6009.025703399262,6015.736976394999,89994.83156720421,4.677268475210477e-08,56902.368747967135,1e-07,56902.36874806713,43944.582173513714,39286.52855823783,0.0,144,144,144,144,0.0,0.0,0.0,3.865352482534945e-12,1.0000000116860974e-07,1.3978980000283627,2.564485599999898,9.999348549172282e-08,3.865352482534945e-12,0,0,4,4,optimal,optimal,56902.368747867135,56902.36874786712,43944.582173513714,0.0,0.0,1.6484591469634324e-12,0.0,0.0,0.0,0.0,0.0,9.999348549172282e-08,0.0,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,1.8189894035458565e-12,9.094947017729282e-13,0.0,0.0,3.865352482534945e-12,0.0,9.094947017729282e-13,0.0,0.0,0.0,2.248489181963623e-14
2025-02-04,3,5,6015.736976394999,6015.736976394999,6077.191558032711,87413.7099841218,748.0379696376386,54908.75895679367,2907.326686800148,57816.08564359382,43437.03263904873,43497.05638425071,0.0,144,144,144,144,0.0,200.86459502475645,0.0,2.0463630789890885e-12,1.0000348993344232e-07,1.5183490000745223,2.6621201999987534,9.997165761888027e-08,2.0463630789890885e-12,0,0,5,5,optimal,optimal,54908.758956693695,54908.75895669369,43437.03263904873,0.0,0.0,2.1316282072803006e-12,0.0,0.0,0.0,0.0,8.810729923425242e-13,9.997165761888027e-08,0.0,0.0,0.0,1.1368683772161603e-13,2.0463630789890885e-12,1.8189894035458565e-12,9.094947017729282e-13,0.0,0.0,0.0,0.0,7.958078640513122e-13,0.0,0.0,0.0,5.684341886080802e-14
2025-02-05,3,5,6077.191558032711,6077.191558032711,6116.9805332413525,88594.47738115872,129.3562498104051,55882.74979365367,492.6753346880141,56375.42512834168,44231.56192150378,42364.095716218755,0.0,144,144,144,144,0.0,169.3326361821637,0.0,2.2737367544323206e-12,1.0000030670198612e-07,1.4999614999942423,2.6665362999992794,1.0002986527979374e-07,2.2737367544323206e-12,0,0,6,6,optimal,optimal,55882.749793553645,55882.74979355363,44231.56192150379,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,1.1368683772161603e-13,1.0002986527979374e-07,7.275957614183426e-12,0.0,0.0,1.1368683772161603e-13,1.1368683772161603e-12,1.8189894035458565e-12,9.094947017729282e-13,0.0,0.0,0.0,2.2737367544323206e-12,1.1368683772161603e-13,0.0,0.0,0.0,9.947598300641403e-14
2025-02-06,3,5,6116.9805332413525,6116.9805332413525,6156.769508397584,89129.2216397603,36.51284476899038,56214.28971983632,211.48059087816867,56425.77031071449,44336.02668720296,41082.2037098901,0.0,144,144,144,144,0.0,108.89959741673101,0.0,2.3874235921539366e-12,1.000001930151484e-07,1.5183991999874706,2.7296630999990157,9.998620953410864e-08,2.3874235921539366e-12,0,0,7,7,optimal,optimal,56214.289719736335,56214.28971973636,44336.02668720296,0.0,0.0,1.5916157281026244e-12,0.0,0.0,0.0,0.0,0.0,9.998620953410864e-08,0.0,0.0,0.0,1.1368683772161603e-13,1.0231815394945443e-12,0.0,9.023892744153272e-13,0.0,0.0,0.0,2.3874235921539366e-12,2.2737367544323206e-13,0.0,0.0,0.0,1.8762769116165146e-14
2025-02-07,2,5,6156.769508397584,6156.769508397584,6179.141057628271,42390.28835603487,26.044120649498034,21741.587558835163,101.87157775305548,21843.45913658822,36726.77649927769,35722.69030025542,0.0,144,144,144,144,0.0,96.50657303401113,0.0,9.094947017729282e-13,1.0000002248489182e-07,1.4145250000292435,2.593087599998398,1.00000761449337e-07,9.094947017729282e-13,0,0,8,8,optimal,optimal,21741.587558735162,21741.587558735173,36726.77649927769,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,1.00000761449337e-07,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,7.958078640513122e-13,0.0,0.0,0.0,0.0,6.821210263296962e-13,0.0,0.0,0.0,5.9368176107677775e-15
2025-02-08,2,5,6179.141057628271,6179.141057628271,6201.512606858956,40764.371628783454,4.677268475210477e-08,20991.536685162224,1e-07,20991.536685262225,36231.31277794852,33926.877459277996,0.0,144,144,144,144,0.0,35.5599089448815,0.0,1.8189894035458565e-12,1.0000000116860974e-07,1.3763197000043874,2.5564284000029147,1.00000761449337e-07,1.8189894035458565e-12,0,0,9,9,optimal,optimal,20991.536685062223,20991.536685062227,36231.31277794852,0.0,0.0,1.1368683772161603e-12,0.0,0.0,0.0,0.0,0.0,1.00000761449337e-07,0.0,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,0.0,8.952838470577262e-13,0.0,0.0,0.0,0.0,7.958078640513122e-13,0.0,0.0,0.0,5.9368176107677775e-15
2025-02-09,2,5,6201.512606858956,6201.512606858956,6220.196940144319,85727.66242343672,410.3719431938007,53772.95593801253,1500.7640079112784,55273.7199459238,44190.86207466361,42288.19743675245,0.0,144,144,144,144,0.0,112.58682686117754,0.0,9.094947017729282e-13,1.0000576367019676e-07,1.528070200001821,2.720068300001003,1.0000803740695119e-07,9.094947017729282e-13,0,0,10,10,optimal,optimal,53772.95593791252,53772.95593791253,44190.86207466361,0.0,0.0,1.3642420526593924e-12,0.0,0.0,0.0,0.0,1.1368683772161603e-13,1.0000803740695119e-07,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,8.981149157705204e-13,0.0,0.0,0.0,0.0,6.821210263296962e-13,0.0,0.0,0.0,1.4210854715202004e-14
2025-02-10,2,5,6220.196940144319,6220.196940144319,6195.454329037208,85873.86008710251,75.32292569632563,53767.69378782937,177.33261597930584,53945.026403808675,44109.13853044474,37512.41382581494,24.74261110711177,144,144,144,144,0.0,82.55398416056232,24.742611107111713,1.8189894035458565e-12,1.0000030670198612e-07,1.4800440999679267,2.6688305999996373,9.997165761888027e-08,1.8189894035458565e-12,0,0,11,11,optimal,optimal,53767.69378772939,53767.69378772941,44109.13853044474,0.0,0.0,1.5347723092418164e-12,0.0,0.0,0.0,0.0,7.105427357601002e-14,9.997165761888027e-08,0.0,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,1.8189894035458565e-12,1.1116046355002457e-12,0.0,0.0,0.0,0.0,2.2737367544323206e-13,0.0,0.0,0.0,1.4210854715202004e-14
