date,update_time,alpha,lambda,current_soc_kwh,previous_contract_total_kwh,scenario_count,J_fix_yuan,J_roll_yuan,V_yuan,relative_value_percent,relative_value_reason,fixed_expected_emergency_cost_yuan,fixed_cvar_yuan,roll_adjustment_cost_yuan,roll_expected_emergency_cost_yuan,roll_cvar_yuan,roll_increase_kwh,roll_decrease_kwh,confidence_rho,classification,reconstructed_J_roll_difference,fixed_max_violation,roll_max_violation,fixed_primary_status,fixed_secondary_status,roll_primary_status,roll_secondary_status
2025-02-01,06:00,0.85,0.25,9642.039444444446,17229.186398353904,2,9.999999999999998e-08,-984.1827128643608,984.1827129643608,,abs(J_fix)<=VALIDATION_TOL,6.666666666666665e-08,1.333333333333333e-07,-984.1827128643608,0.0,0.0,0.0,3016.4040319831397,0.6203361283146992,positive,0.0,9.999999999999998e-08,9.999985195463523e-08,optimal,optimal,optimal,optimal
2025-02-01,12:00,0.85,0.25,7124.128017037038,14212.782366370768,2,9.999999999999998e-08,-75.30368939828152,75.30368949828151,,abs(J_fix)<=VALIDATION_TOL,6.666666666666665e-08,1.333333333333333e-07,-75.30368939828152,0.0,0.0,0.0,195.58070701927818,0.5219275667876406,positive,0.0,9.999999999999998e-08,1.000000082740371e-07,optimal,optimal,optimal,optimal
2025-02-01,18:00,0.85,0.25,10197.944476851852,8402.843307504396,2,1e-07,-30.973470065879933,30.973470165879935,,abs(J_fix)<=VALIDATION_TOL,6.666666666666667e-08,1.333333333333333e-07,-30.973470065879933,0.0,0.0,0.0,62.756499171064675,0.5,positive,0.0,1e-07,9.999998340504135e-08,optimal,optimal,optimal,optimal
2025-02-02,06:00,0.85,0.25,10771.232306534266,56398.65585609588,3,31.029060683032796,-1230.905150597035,1261.9342112800678,4066.9429995672226,defined,17.7308918617331,53.19267528519878,-1230.905150597035,0.0,0.0,9.157730099887885,3718.264355536664,0.630420805544078,positive,0.0,1.000000082740371e-07,1.0000053407566156e-07,optimal,optimal,optimal,optimal
2025-02-02,12:00,0.85,0.25,7656.592467969518,37687.520679017354,3,104.46344784559798,-331.93170582898233,436.39515367458034,417.74913874142226,defined,72.53772300022675,127.70289938148494,-331.93170582898233,0.0,0.0,29.538682462047518,1163.922857494195,0.5328440473078151,positive,0.0,1.000000082740371e-07,1.0000007932831068e-07,optimal,optimal,optimal,optimal
2025-02-02,18:00,0.85,0.25,10800.0,15569.337193692543,3,1e-07,9.99963620211929e-08,3.637978807091713e-12,,abs(J_fix)<=VALIDATION_TOL,5.714261729706312e-08,1.7142953081174752e-07,9.99963620211929e-08,0.0,0.0,1.57972224536069e-07,1.1368683772161603e-13,0.5,numerical_zero,0.0,1e-07,1e-07,optimal,optimal,optimal,optimal
2025-02-03,06:00,0.85,0.25,10794.161419753087,58761.69399212225,4,1e-07,-1626.7411086855363,1626.7411087855364,,abs(J_fix)<=VALIDATION_TOL,7.5e-08,1e-07,-1626.7411086855363,0.0,0.0,0.0,4624.54250346484,0.6081206271476367,positive,0.0,1e-07,9.999985195463523e-08,optimal,optimal,optimal,optimal
2025-02-03,12:00,0.85,0.25,7638.409423039329,38815.83204562402,4,1e-07,-515.3194351759748,515.3194352759748,,abs(J_fix)<=VALIDATION_TOL,7.5e-08,1e-07,-515.3194351759748,0.0,0.0,0.0,1537.8957574876702,0.5188848576958215,positive,0.0,1e-07,9.999985195463523e-08,optimal,optimal,optimal,optimal
2025-02-03,18:00,0.85,0.25,10786.822222222223,15577.492565277777,4,37.127730099996995,22.276638099995733,14.851092000001263,39.99999989227045,defined,18.563865099998004,74.25545999999596,22.276638099995733,0.0,0.0,11.859999999999198,0.0,0.5,positive,0.0,1.0000000116860974e-07,1.0000000472132342e-07,optimal,optimal,optimal,optimal
2025-02-04,06:00,0.85,0.25,10799.999999999998,60790.824207393,5,316.0700128958573,-1334.8143194555164,1650.8843323513738,522.3160265112932,defined,140.4755613426032,702.3778062130165,-1334.8143194555164,0.0,0.0,159.7802744378369,4231.80187666703,0.604213286359979,positive,0.0,9.999996564147295e-08,1.0000030670198612e-07,optimal,optimal,optimal,optimal
2025-02-04,12:00,0.85,0.25,7942.732885092671,40154.02431252903,5,1e-07,-848.0840445519361,848.0840446519361,,abs(J_fix)<=VALIDATION_TOL,7.619047619047619e-08,9.523809523809523e-08,-848.0840445519361,0.0,0.0,0.0,2483.7646664562244,0.5361436228440177,positive,0.0,1e-07,9.999985195463523e-08,optimal,optimal,optimal,optimal
2025-02-04,18:00,0.85,0.25,10792.654320987655,15463.32926527778,5,18.626475099999418,12.41765010000305,6.208824999996368,33.33333315435814,defined,8.278433433333076,41.392166666665375,12.41765010000305,0.0,0.0,6.611111111110888,0.0,0.5,positive,0.0,9.999999761589606e-08,9.99999993922529e-08,optimal,optimal,optimal,optimal
2025-02-05,06:00,0.85,0.25,10800.0,55968.24266256479,6,629.9952095116399,-267.1869822436353,897.1821917552752,142.41095459293308,defined,253.01415512145695,1507.924217560732,-267.1869822436353,0.0,0.0,336.8706296869674,1899.7964132362313,0.6073189178332172,positive,0.0,9.999996564147295e-08,1.0000013617172954e-07,optimal,optimal,optimal,optimal
2025-02-05,12:00,0.85,0.25,7057.38118332164,38481.45124520356,6,1.0000000000000002e-07,-408.1269078834092,408.12690798340924,,abs(J_fix)<=VALIDATION_TOL,7.692307692307694e-08,9.230769230769232e-08,-408.1269078834092,0.0,0.0,0.0,1094.727401753643,0.5500793609993078,positive,0.0,1.0000000000000002e-07,9.999996564147295e-08,optimal,optimal,optimal,optimal
2025-02-05,18:00,0.85,0.25,10800.000000000002,15525.126754166668,6,1.0000000000000002e-07,1e-07,2.6469779601696886e-23,,abs(J_fix)<=VALIDATION_TOL,7.692268902331335e-08,9.23092439067467e-08,1e-07,0.0,0.0,2.1627885116566735e-07,1.751877968965586e-07,0.5,numerical_zero,0.0,1.0000000000000002e-07,1e-07,optimal,optimal,optimal,optimal
2025-02-06,06:00,0.85,0.25,10797.222530864196,61676.0096604178,7,1.0000000000000001e-07,-1815.5893762731291,1815.5893763731292,,abs(J_fix)<=VALIDATION_TOL,7.741935483870968e-08,9.03225806451613e-08,-1815.5893762731291,0.0,0.0,0.0,4965.723174541591,0.6235349872124988,positive,0.0,1.0000000000000001e-07,1.0000007932831068e-07,optimal,optimal,optimal,optimal
2025-02-06,12:00,0.85,0.25,7765.633397533627,40622.078705922584,7,1.0000000000000001e-07,-1117.3476043010019,1117.347604401002,,abs(J_fix)<=VALIDATION_TOL,7.741935483870968e-08,9.03225806451613e-08,-1117.3476043010019,0.0,0.0,0.0,3153.471201969421,0.5707119684648804,positive,0.0,1.0000000000000001e-07,1.0000030670198612e-07,optimal,optimal,optimal,optimal
2025-02-06,18:00,0.85,0.25,10796.047530864198,15421.489131944443,7,8.484483274601331,6.681530599990914,1.8029526746104168,21.249999749632767,defined,3.1816812827827334,21.211207967274387,6.681530599990914,0.0,0.0,3.5572222222231424,1.2505552149377763e-12,0.5,positive,0.0,1.0000000116860974e-07,1.0000000116860974e-07,optimal,optimal,optimal,optimal
2025-02-07,06:00,0.85,0.25,10018.20918856481,17591.833774742798,8,1e-07,-910.8759252884274,910.8759253884274,,abs(J_fix)<=VALIDATION_TOL,7.777777777777777e-08,8.888888888888888e-08,-910.8759252884274,0.0,0.0,0.0,3046.168995338767,0.6423505795163891,positive,0.0,1e-07,9.999985195463523e-08,optimal,optimal,optimal,optimal
2025-02-07,12:00,0.85,0.25,7397.719001932886,14323.701492328397,8,1e-07,-478.11078029289706,478.1107803928971,,abs(J_fix)<=VALIDATION_TOL,7.777777777777777e-08,8.888888888888888e-08,-478.11078029289706,0.0,0.0,0.0,1639.8628938071704,0.6644873138638798,positive,0.0,1e-07,1.0000007932831068e-07,optimal,optimal,optimal,optimal
2025-02-07,18:00,0.85,0.25,9857.922070987655,7968.134108041663,8,1e-07,-9.330032625282763,9.330032725282763,,abs(J_fix)<=VALIDATION_TOL,7.777777777777777e-08,8.888888888888888e-08,-9.330032625282763,0.0,0.0,2.1627473868971008e-07,18.90392627240096,0.5,positive,0.0,1e-07,9.99999993922529e-08,optimal,optimal,optimal,optimal
2025-02-08,06:00,0.85,0.25,8242.787496636447,12536.665259722222,9,12.1727214666468,-104.94118497430021,117.11390644094702,962.1012586366867,defined,5.0246746476140345,28.592187276131064,-104.94118497430021,0.0,0.0,7.326614365056571,294.7452128419817,0.6251944679866634,positive,0.0,9.99999993922529e-08,9.99997240569428e-08,optimal,optimal,optimal,optimal
2025-02-08,12:00,0.85,0.25,7403.960153303115,12249.246661245297,9,1.268062935044952,-22.44188726002253,23.70995019506748,1869.7770859635589,defined,0.4755236554495494,3.17015711838161,-22.44188726002253,0.0,0.0,0.9439153216314935,56.56841389006964,0.7212701175370082,positive,0.0,1.0000000005838672e-07,9.99999905104687e-08,optimal,optimal,optimal,optimal
2025-02-08,18:00,0.85,0.25,9849.687000841885,8059.6590021549655,9,245.39867766056275,180.92621674656235,64.47246091400041,26.27253803020862,defined,110.03878391150258,541.4395749962407,180.92621674656235,0.0,0.0,125.93790892067346,35.08105583333514,0.5,positive,0.0,9.999999406318238e-08,9.999999406318238e-08,optimal,optimal,optimal,optimal
