metric,q2,q3,absolute_difference,percentage_change
total_actual_cost_yuan,14388572.952429088,14156427.999491744,-232144.9529373441,-1.6133980326252801
total_emergency_purchase_kwh,277409.427002502,125055.37816386893,-152354.0488386331,-54.92028532875308
total_emergency_cost_yuan,1194359.0889661158,506034.5792017333,-688324.5097643826,-57.6312866141642
emergency_slot_count,3282.0,2409.0,-873.0,-26.599634369287017
emergency_day_count,230.0,252.0,22.0,9.565217391304348
initial_soc_kwh,6000.0,6000.0,0.0,0.0
final_soc_kwh,2748.5289686118745,1200.0000000519697,-1548.5289685599048,-56.34028188329333
average_day_end_soc_kwh,3231.2705434554946,1368.187614273522,-1863.0829291819725,-57.65790589572877
simultaneous_slots,0.0,0.0,0.0,
max_constraint_violation,3.684816078930453e-07,1.519701982033439e-07,-2.165114096897014e-07,
