date,slot,price_yuan_per_kwh,grid_purchase_plan_kwh,load_actual_kwh,pv_actual_kwh,soc_real_start_kwh,soc_real_end_kwh,plan_terminal_soc_kwh,x_real_kwh,y_real_kwh,q_real_kwh,z_real_kwh,emergency_purchase_kwh,planned_cost_slot_yuan,emergency_cost_slot_yuan,total_cost_slot_yuan,effective_contract_kwh,load_forecast_kwh,pv_forecast_kwh,run_label,rolling_primary_status,rolling_secondary_status,rolling_tertiary_status,rolling_primary_star,rolling_terminal_gap_star,rolling_max_violation,rolling_tertiary_throughput_star,source_time
2025-02-01,1,0.4248,1253.3933958333332,422.0303666666667,0.0,6000.0,6748.22672625,1200.0,831.3630291666666,422.0303666666667,0.0,0.0,0.0,532.44151455,0.0,532.44151455,1253.3933958333332,447.28122499999995,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,32597.353708074188,00:10:00
2025-02-01,2,0.4245,1248.3775708333333,415.4073166666667,0.0,6748.22672625,7497.899955,1200.0,832.9702541666666,415.4073166666667,0.0,0.0,0.0,529.93627881875,0.0,529.93627881875,1248.3775708333333,453.2701541666666,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,31849.126981824193,00:20:00
2025-02-01,3,0.4269,1273.4004166666668,410.7166666666667,0.0,7497.899955,8247.899954999997,1200.0,833.3333333333334,440.06708333333347,0.0,1.8189894035458565e-12,0.0,543.6146378750001,0.0,543.6146378750001,1273.4004166666668,460.36041666666665,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1e-07,31099.453753074187,00:30:00
2025-02-01,4,0.4272,1297.5699875,430.29479999999995,0.0,8247.899954999997,8997.899954999995,1200.0,833.3333333333334,464.23665416666665,0.0,1.8189894035458565e-12,0.0,554.32189866,0.0,554.32189866,1297.5699875,456.77065000000005,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1e-07,30349.453753074187,00:40:00
2025-02-01,5,0.4271,1311.9506375,424.4105833333333,0.0,8997.899954999995,9747.899954999993,1200.0,833.3333333333334,478.6173041666667,0.0,1.8189894035458565e-12,0.0,560.33411727625,0.0,560.33411727625,1311.9506375,460.46558749999997,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,29599.45375307419,00:50:00
2025-02-01,6,0.4285,481.5664166613629,406.0516666666666,0.0,9747.899954999993,9815.86322999522,1200.0,75.51474999469627,406.0516666666666,0.0,0.0,0.0,206.351209539394,0.0,206.351209539394,481.5664166613629,475.89,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1e-07,28849.453753074187,01:00:00
2025-02-01,7,0.4311,474.5624291666667,436.7501833333333,0.0,9815.86322999522,9849.894251245221,1200.0,37.81224583333335,436.7501833333333,0.0,0.0,0.0,204.58386321375,0.0,204.58386321375,474.5624291666667,486.27471249999996,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,28755.463181782667,01:10:00
2025-02-01,8,0.4302,466.3732208333332,451.7976833333333,0.0,9849.894251245221,9849.894251245221,1200.0,0.0,466.3732208333332,0.0,0.0,0.0,200.63375960249996,0.0,200.63375960249996,466.3732208333332,475.9790958333333,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1e-07,28700.085771643782,01:20:00
2025-02-01,9,0.4279,799.3131666719698,446.08,0.0,9849.894251245221,10167.804101249994,1200.0,353.23316667196985,446.08,0.0,0.0,0.0,342.0261040189359,0.0,342.0261040189359,799.3131666719698,462.72,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,28700.085771643775,01:30:00
2025-02-01,10,0.4312,476.79535833333324,471.7663333333333,0.0,10167.804101249994,10167.804101249994,1200.0,0.0,476.79535833333324,0.0,0.0,0.0,205.5941585133333,0.0,205.5941585133333,476.79535833333324,480.7031083333333,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1e-07,28373.492032750117,01:40:00
2025-02-01,11,0.4333,486.9318874999999,448.02596666666665,0.0,10167.804101249994,10167.804101249994,1200.0,0.0,486.9318874999999,0.0,0.0,0.0,210.98758685374997,0.0,210.98758685374997,486.9318874999999,499.92819999999995,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1e-07,28344.611338305673,01:50:00
2025-02-01,12,0.4311,494.31499999999994,397.4033333333333,0.0,10167.804101249994,10255.024601249994,1200.0,96.91166666666663,397.4033333333333,0.0,0.0,0.0,213.09919649999998,0.0,213.09919649999998,494.31499999999994,501.53374999999994,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1e-07,28328.56967163901,02:00:00
2025-02-01,13,0.4293,505.82389999999987,434.0906333333333,0.0,10255.024601249994,10255.024601249994,1200.0,0.0,505.82389999999987,0.0,0.0,0.0,217.15020026999994,0.0,217.15020026999994,505.82389999999987,495.9134416666666,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,28241.349171639013,02:10:00
2025-02-01,14,0.4324,509.8679625,490.5609166666666,0.0,10255.024601249994,10255.024601249994,1200.0,0.0,509.8679625,0.0,0.0,0.0,220.46690698499998,0.0,220.46690698499998,509.8679625,499.3593708333333,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,28241.34917163901,02:20:00
2025-02-01,15,0.4367,494.5391666666667,503.22,0.0,10255.024601249994,10245.379230879624,1200.0,0.0,494.5391666666667,0.0,8.68083333333334,0.0,215.96525408333332,0.0,215.96525408333332,494.5391666666667,508.4508333333333,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1e-07,28229.725097564933,02:30:00
2025-02-01,16,0.4348,467.4366125,474.07281666666665,0.0,10245.379230879624,10238.005670694438,1200.0,0.0,467.4366125,0.0,6.63620416666663,0.0,203.24143911500002,0.0,203.24143911500002,467.4366125,507.1182,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,28146.64554200938,02:40:00
2025-02-01,17,0.4335,491.6961666666666,461.38439999999997,0.0,10238.005670694438,10238.005670694438,1200.0,0.0,491.6961666666666,0.0,0.0,0.0,213.15028825,0.0,213.15028825,491.6961666666666,511.18375416666663,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,28095.966231824197,02:50:00
2025-02-01,18,0.4357,537.5170833333335,476.94166666666666,0.0,10238.005670694438,10238.005670694438,1200.0,0.0,537.5170833333335,0.0,0.0,0.0,234.1961932083334,0.0,234.1961932083334,537.5170833333335,520.7624999999999,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,28095.9662318242,03:00:00
2025-02-01,19,0.4374,513.6594916666667,483.39955,0.0,10238.005670694438,10238.005670694438,1200.0,0.0,513.6594916666667,0.0,0.0,0.0,224.674661655,0.0,224.674661655,513.6594916666667,519.826875,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1e-07,28082.26093552791,03:10:00
2025-02-01,20,0.4371,504.9851458333334,486.6019166666666,0.0,10238.005670694438,10238.005670694438,1200.0,0.0,504.9851458333334,0.0,0.0,0.0,220.72900724375,0.0,220.72900724375,504.9851458333334,522.3059458333332,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,28043.77026886124,03:20:00
2025-02-01,21,0.4356,522.6004166666665,498.84833333333336,0.0,10238.005670694438,10238.005670694438,1200.0,0.0,522.6004166666665,0.0,0.0,0.0,227.64474149999995,0.0,227.64474149999995,522.6004166666665,524.5866666666666,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1e-07,28039.356379972352,03:30:00
2025-02-01,22,0.4353,496.7915916666667,518.3097333333333,0.0,10238.005670694438,10214.096624398142,1200.0,0.0,496.7915916666667,0.0,21.518141666666565,0.0,216.25337985250002,0.0,216.25337985250002,496.7915916666667,511.57220833333326,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,28054.32865775013,03:40:00
2025-02-01,23,0.436,505.16741666666655,509.13346666666666,0.0,10214.096624398142,10209.68990217592,1200.0,0.0,505.16741666666655,0.0,3.9660500000001093,0.0,220.2529936666666,0.0,220.2529936666666,505.16741666666655,520.7508458333333,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,28004.603213305683,03:50:00
2025-02-01,24,0.4378,544.8691666666667,483.6166666666666,0.0,10209.68990217592,10209.68990217592,1200.0,0.0,544.8691666666667,0.0,0.0,0.0,238.5437211666667,0.0,238.5437211666667,544.8691666666667,542.6191666666666,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,28000.196491083458,04:00:00
2025-02-01,25,0.4401,530.8568416666667,491.1868,0.0,10209.68990217592,10245.39293967592,1200.0,39.67004166666669,491.1868,0.0,0.0,0.0,233.6300960175,0.0,233.6300960175,530.8568416666667,529.3050333333333,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,28000.196491083458,04:10:00
2025-02-01,26,0.4389,520.9609333333332,504.64528333333334,0.0,10245.39293967592,10260.077024675918,1200.0,16.315649999999835,504.64528333333334,0.0,0.0,0.0,228.64975363999994,0.0,228.64975363999994,520.9609333333332,519.2568208333332,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,27964.493453583455,04:20:00
2025-02-01,27,0.4364,545.7483333333332,505.57833333333326,0.0,10260.077024675918,10296.230024675919,1200.0,40.16999999999996,505.57833333333326,0.0,0.0,0.0,238.16457266666663,0.0,238.16457266666663,545.7483333333332,530.655,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1e-07,27949.80936858346,04:30:00
2025-02-01,28,0.4393,566.4918833333334,503.23096666666663,0.0,10296.230024675919,10353.164849675919,1200.0,63.26091666666673,503.23096666666663,0.0,0.0,0.0,248.85988434833337,0.0,248.85988434833337,566.4918833333334,542.9711791666666,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1e-07,27913.656368583463,04:40:00
2025-02-01,29,0.4422,529.1632791666666,502.84698333333336,0.00023333333333333333,10353.164849675919,10376.849725925918,1200.0,26.316529166666555,502.84675000000004,0.0,0.0,0.0,233.99600204749996,0.0,233.99600204749996,529.1632791666666,550.9038874999999,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1e-07,27808.409080620502,04:50:00
2025-02-01,30,0.4395,484.3833333333332,499.64166666666665,0.0,10376.849725925918,10359.896022222214,1200.0,0.0,484.3833333333332,0.0,15.25833333333344,0.0,212.88647499999996,0.0,212.88647499999996,484.3833333333332,553.7533333333332,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1e-07,27664.476056222353,05:00:00
2025-02-01,31,0.4333,534.3841083333333,488.78358333333335,0.0,10359.896022222214,10400.936494722215,1200.0,45.60052499999995,488.78358333333335,0.0,0.0,0.0,231.54863414083334,0.0,231.54863414083334,534.3841083333333,552.5619666666666,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201537,0.0,1e-07,27607.127111777907,05:10:00
2025-02-01,32,0.4439,563.1746791666667,498.51875,0.0033166666666666665,10400.936494722215,10459.129815972216,1200.0,64.65924583333333,498.51543333333336,0.0,0.0,0.0,249.99324008208336,0.0,249.99324008208336,563.1746791666667,553.7675875,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1e-07,27566.086639277906,05:20:00
2025-02-01,33,0.4301,544.5441666666668,529.2233333333334,0.0,10459.129815972216,10472.918565972215,1200.0,15.32083333333344,529.2233333333334,0.0,0.0,0.0,234.20844608333337,0.0,234.20844608333337,544.5441666666668,559.1795833333333,0.0,Q3 FINAL,optimal,optimal,optimal,751.9297092201538,0.0,1.0000007932831068e-07,27475.370169879752,05:30:00
