alpha,lambda,total_cost,emergency_slot_count,daily_cost_std,Score,winner
0.85,0.25,14156427.999491744,2409,15303.09691701403,0.07674725274725275,True
0.8,0.25,14162356.19136174,2517,15321.56206803939,0.12139236178831239,False
0.8,0.5,14278363.504712243,2032,15379.506414898326,0.4640334492257061,False
0.9,0.25,14277022.654536868,2127,15428.274835158865,0.5025542596004793,False
0.9,1.0,14307860.64682622,1827,15340.717322766362,0.5071571332257366,False
0.95,1.0,14308278.479713522,1830,15344.284559824171,0.5111023054777818,False
0.8,0.0,14162888.04089927,4102,15625.24391848053,0.520638713594042,False
0.85,0.0,14162888.04089927,4102,15625.24391848053,0.520638713594042,False
0.9,0.0,14162888.04089927,4102,15625.24391848053,0.520638713594042,False
0.95,0.0,14162888.04089927,4102,15625.24391848053,0.520638713594042,False
0.9,2.0,14310041.769737579,1829,15352.425717347922,0.5216581557726057,False
0.85,2.0,14310024.600736793,1835,15355.842955128195,0.524516051979046,False
0.85,0.5,14311018.913587945,1837,15354.596189159072,0.5271824101811707,False
0.9,0.5,14310757.69698855,1839,15357.667143165081,0.5285181591016433,False
0.8,2.0,14311115.65741846,1831,15357.572353390038,0.5285479868606165,False
0.95,2.0,14311460.713090032,1830,15357.304904575643,0.5293524703714676,False
0.85,1.0,14311446.980798637,1836,15361.526986718876,0.5327210214854241,False
0.8,1.0,14312931.004829016,1838,15367.217321097705,0.5412587139169461,False
0.95,0.5,14312658.873299327,1845,15367.225599400535,0.54131751718513,False
0.95,0.25,14309946.016097162,1923,15396.72943733827,0.5612531254880504,False
