date,run_label,alpha,lambda,soc_start_kwh,scenario_count_00,soc_00_kwh,plan_primary_status_00,plan_secondary_status_00,plan_cost_00_yuan,increase_00_kwh,decrease_00_kwh,scenario_count_06,soc_06_kwh,plan_primary_status_06,plan_secondary_status_06,adjustment_cost_06_yuan,increase_06_kwh,decrease_06_kwh,rho_06,scenario_count_12,soc_12_kwh,plan_primary_status_12,plan_secondary_status_12,adjustment_cost_12_yuan,increase_12_kwh,decrease_12_kwh,rho_12,scenario_count_18,soc_18_kwh,plan_primary_status_18,plan_secondary_status_18,adjustment_cost_18_yuan,increase_18_kwh,decrease_18_kwh,rho_18,soc_end_kwh,soc_min_kwh,soc_max_kwh,adjustment_cost_total_yuan,actual_emergency_purchase_kwh,actual_emergency_cost_yuan,total_actual_cost_yuan,emergency_slot_count,actual_throughput_kwh,simultaneous_slots,max_constraint_violation,actual_primary_status,actual_secondary_status,actual_tertiary_status
2025-02-01,ANNUAL REFERENCE ONLY,0.8,0.0,6000.0,2,6000.0,optimal,optimal,21719.94543355953,0.0,0.0,2,9642.039444444446,optimal,optimal,-984.1827128643608,0.0,3016.4040319831397,0.6203361283146992,2,7124.128017037038,optimal,optimal,-75.30368939828156,0.0,195.58070701926488,0.5219275667876406,2,10197.944476851852,optimal,optimal,-30.973470065879933,0.0,62.756499171064675,0.5,1200.0000001,1200.0000001,10800.000000000002,-1090.4598723285224,31.88885432865414,115.43195186616586,20744.91751309717,2,30842.755403720643,0,1.0000030670198612e-07,optimal,optimal,optimal
2025-02-02,ANNUAL REFERENCE ONLY,0.8,0.0,1200.0000001,3,1200.0000001,optimal,optimal,57517.54812983773,0.0,0.0,3,10771.232306534266,optimal,optimal,-1230.9051505970353,9.157730099887885,3718.2643555372315,0.630420805544078,3,7656.592467969518,optimal,optimal,-331.9317058289822,29.53868246185175,1163.9228574938006,0.5328440473078151,3,10800.0,optimal,optimal,1e-07,1.579777944547571e-07,-1.1368683772161603e-13,0.5,1225.040735832577,1200.0000001,10800.0,-1562.8368563260176,12.212987546772625,26.459437518749873,55981.17071103046,1,40766.1709257929,0,1.000043994281441e-07,optimal,optimal,optimal
2025-02-03,ANNUAL REFERENCE ONLY,0.8,0.0,1225.040735832577,4,1225.040735832577,optimal,optimal,59093.48325071171,0.0,0.0,4,10794.161419753087,optimal,optimal,-1626.7411086854347,0.0,4624.542503462238,0.6081206271476367,4,7638.409423039329,optimal,optimal,-515.3194351759676,0.0,1537.895757490534,0.5188848576958215,4,10786.822222222223,optimal,optimal,5.266149549540523e-07,2.725540707113959e-07,7.958078640513122e-13,0.5,1274.4657502514192,1225.040735832577,10800.0,-2142.060543334787,104.40272012886243,391.4275183615578,57342.85022573848,6,41463.56982913984,0,1.0002986527979374e-07,optimal,optimal,optimal
2025-02-04,ANNUAL REFERENCE ONLY,0.8,0.0,1274.4657502514192,5,1274.4657502514192,optimal,optimal,60820.386749648394,0.0,0.0,5,10799.999999999998,optimal,optimal,-1388.3137783470902,15.566799092405489,3831.8718825713595,0.604213286359979,5,7808.4112298930395,optimal,optimal,-879.2920550686767,0.0,2513.17645619343,0.5361436228440177,5,10792.654320987655,optimal,optimal,1.0000350205814356e-07,1.5734971957898053e-07,2.2737367544323206e-13,0.5,1271.1681653283567,1271.1681653283567,10800.0,-2267.6058333157634,95.94272613671137,270.848143656603,58823.62905998923,6,42342.2076001163,0,1.0000621841754764e-07,optimal,optimal,optimal
2025-02-05,ANNUAL REFERENCE ONLY,0.8,0.0,1271.1681653283567,6,1271.1681653283567,optimal,optimal,56958.07312468298,0.0,0.0,6,10800.0,optimal,optimal,-437.78000203347096,1.739401381153698,1127.8490829683524,0.6073189178332172,6,6884.366117043872,optimal,optimal,-499.7009610991084,0.0,1332.531484670345,0.5500793609993078,6,10800.000000000002,optimal,optimal,1.8318614117989322e-07,2.8823448414479583e-07,2.0463630789890885e-12,0.5,1255.7405083314025,1255.7405083314025,10800.000000000002,-937.4809629493932,338.2144569806529,1275.6973810128522,57296.28954274645,12,42361.01019952836,0,1.000075826596003e-07,optimal,optimal,optimal
2025-02-06,ANNUAL REFERENCE ONLY,0.8,0.0,1255.7405083314025,7,1255.7405083314025,optimal,optimal,60992.84089614129,0.0,0.0,7,10797.2225308642,optimal,optimal,-1679.5937362390043,0.0,4556.324820735619,0.6235349872124988,7,7765.633397533625,optimal,optimal,-1103.0395423219024,0.0,3116.1861866163795,0.5707119684648804,7,10800.0,optimal,optimal,1.637299922307989e-07,2.5761937256045766e-07,0.0,0.5,1254.3127130468972,1254.3127130468972,10800.000000000002,-2782.6332783971766,109.72116963909387,254.15371918402968,58464.36133692815,5,41890.27470994564,0,1.0000553629652131e-07,optimal,optimal,optimal
2025-02-07,ANNUAL REFERENCE ONLY,0.8,0.0,1254.3127130468972,8,1254.3127130468972,optimal,optimal,23333.9838937596,0.0,0.0,8,9595.275743101849,optimal,optimal,-588.4038517293355,0.0,2023.548825158222,0.6423505795163891,8,7067.53509810185,optimal,optimal,-531.3955485576892,0.0,1901.661744472172,0.6644873138638798,8,9857.922070987655,optimal,optimal,-12.607013259660336,0.0,27.80549902880533,0.5,1299.1663903175363,1210.5362314814815,10800.0,-1132.406413546685,159.3856415565311,536.3251231920401,22737.902603404957,6,35395.03066971042,0,1.0000303518609144e-07,optimal,optimal,optimal
2025-02-08,ANNUAL REFERENCE ONLY,0.8,0.0,1299.1663903175363,9,1299.1663903175363,optimal,optimal,18892.153212738893,0.0,0.0,9,8243.387480879628,optimal,optimal,2.192828523834578e-06,1.5600103324686643e-06,0.0,0.6251944679866634,9,7404.560137546296,optimal,optimal,2.1928235699135715e-06,1.560006808176695e-06,0.0,0.7212701175370082,9,9842.694258788846,optimal,optimal,1.5882309334358524e-07,2.479093004660661e-07,0.0,0.5,1311.2910281533882,1224.9824439740278,10800.0,4.544475187091735e-06,556.5799926617535,2114.117034874137,21006.270252157505,18,34360.13951640378,0,1.0000098882301245e-07,optimal,optimal,optimal
2025-02-09,ANNUAL REFERENCE ONLY,0.8,0.0,1311.2910281533882,10,1311.2910281533882,optimal,optimal,56678.91464001524,0.0,0.0,10,10506.17679582584,optimal,optimal,-723.5894869637757,0.0,1724.5385080238361,0.6518986649382474,10,8061.785371041265,optimal,optimal,-603.4085095276363,0.0,1923.7466782875676,0.7139956059165149,10,10752.136489545786,optimal,optimal,1.373913436353291e-07,2.16177080694405e-07,0.0,0.5,1241.3039913090424,1241.3039913090424,10800.0,-1326.9979963540204,253.151138794053,715.4206767679779,56067.3373204292,14,40745.84339122763,0,1.0000462680181954e-07,optimal,optimal,optimal
2025-02-10,ANNUAL REFERENCE ONLY,0.8,0.0,1241.3039913090424,11,1241.3039913090424,optimal,optimal,53540.920594890646,0.0,0.0,11,10084.745561419755,optimal,optimal,-2227.5154978261735,0.0,6324.677050528172,0.632296215923355,11,7620.6989383815635,optimal,optimal,-176.063486312061,0.0,619.7236406619536,0.7122470447481396,11,10755.611498312508,optimal,optimal,-1.635011746145665e-07,0.0,8.473758725813241e-07,0.5,1200.0000000519697,1200.0000000519697,10800.0,-2403.5789843017355,943.3488827875894,2494.1076687194236,53631.449279308334,24,40770.09873817203,0,1.0000167094403878e-07,optimal,optimal,optimal
