rank,alpha,lambda,total_cost,emergency_slot_count,daily_cost_std,Score,normalized_total_cost,min_total_cost,max_total_cost,normalized_emergency_slot_count,min_emergency_slot_count,max_emergency_slot_count,normalized_daily_cost_std,min_daily_cost_std,max_daily_cost_std,final_soc_kwh,average_day_end_soc_kwh,emergency_day_count,total_emergency_purchase_kwh,runtime_seconds
1,0.85,0.25,14156427.999491744,2409,15303.09691701403,0.07674725274725275,0.0,14156427.999491744,14312931.004829016,0.2558241758241758,1827.0,4102.0,0.0,15303.09691701403,15625.24391848053,1200.0000000519697,1368.187614273522,252,125055.37816386893,1661.2048540999967
2,0.8,0.25,14162356.19136174,2517,15321.56206803939,0.12139236178831239,0.03787909284694525,14156427.999491744,14312931.004829016,0.3032967032967033,1827.0,4102.0,0.05731902187914388,15303.09691701403,15625.24391848053,1200.0000000519697,1366.9115671565307,249,129988.05262007749,1673.7587615999983
3,0.8,0.5,14278363.504712243,2032,15379.506414898326,0.4640334492257061,0.779125646550504,14156427.999491744,14312931.004829016,0.09010989010989011,1827.0,4102.0,0.23718829458743534,15303.09691701403,15625.24391848053,1200.0000000519697,1378.9754164179483,242,106240.92089285253,1650.8178649000001
4,0.9,0.25,14277022.654536868,2127,15428.274835158865,0.5025542596004793,0.7705580783272259,14156427.999491744,14312931.004829016,0.13186813186813187,1827.0,4102.0,0.3885739043821339,15303.09691701403,15625.24391848053,1200.0000000519697,1372.7999065322178,242,112615.49710533746,1654.6676808999982
5,0.9,1.0,14307860.64682622,1827,15340.717322766362,0.5071571332257366,0.9676021684576086,14156427.999491744,14312931.004829016,0.0,1827.0,4102.0,0.11678024498466143,15303.09691701403,15625.24391848053,1200.0000000519697,1396.5787325625308,224,92387.21591303518,1670.1260421000043
6,0.95,1.0,14308278.479713522,1830,15344.284559824171,0.5111023054777818,0.9702719758929405,14156427.999491744,14312931.004829016,0.0013186813186813187,1827.0,4102.0,0.1278535656785359,15303.09691701403,15625.24391848053,1200.0000000519697,1396.5762316855569,224,92612.09142428476,1671.3017901999992
7,0.8,0.0,14162888.04089927,4102,15625.24391848053,0.520638713594042,0.041277427188083866,14156427.999491744,14312931.004829016,1.0,1827.0,4102.0,1.0,15303.09691701403,15625.24391848053,1200.0000000519697,1316.9421053633473,283,238389.3898001886,1672.024953
7,0.85,0.0,14162888.04089927,4102,15625.24391848053,0.520638713594042,0.041277427188083866,14156427.999491744,14312931.004829016,1.0,1827.0,4102.0,1.0,15303.09691701403,15625.24391848053,1200.0000000519697,1316.9421053633473,283,238389.3898001886,1644.2024738999971
7,0.9,0.0,14162888.04089927,4102,15625.24391848053,0.520638713594042,0.041277427188083866,14156427.999491744,14312931.004829016,1.0,1827.0,4102.0,1.0,15303.09691701403,15625.24391848053,1200.0000000519697,1316.9421053633473,283,238389.3898001886,1645.4318400999982
7,0.95,0.0,14162888.04089927,4102,15625.24391848053,0.520638713594042,0.041277427188083866,14156427.999491744,14312931.004829016,1.0,1827.0,4102.0,1.0,15303.09691701403,15625.24391848053,1200.0000000519697,1316.9421053633473,283,238389.3898001886,1645.6049916999982
11,0.9,2.0,14310041.769737579,1829,15352.425717347922,0.5216581557726057,0.9815387884391727,14156427.999491744,14312931.004829016,0.0008791208791208791,1827.0,4102.0,0.1531251264464152,15303.09691701403,15625.24391848053,1200.0000000519697,1396.577224734208,224,92298.44148882513,1670.5806473999983
12,0.85,2.0,14310024.600736793,1835,15355.842955128195,0.524516051979046,0.981429084470557,14156427.999491744,14312931.004829016,0.0035164835164835165,1827.0,4102.0,0.16373282344411244,15303.09691701403,15625.24391848053,1200.0000000519697,1396.580072199328,224,93464.34240260326,1656.6279364000002
13,0.85,0.5,14311018.913587945,1837,15354.596189159072,0.5271824101811707,0.9877823992136742,14156427.999491744,14312931.004829016,0.004395604395604396,1827.0,4102.0,0.1598626462782619,15303.09691701403,15625.24391848053,1200.0000000519697,1396.5776834199578,224,93077.10736637891,1658.9333254000012
14,0.9,0.5,14310757.69698855,1839,15357.667143165081,0.5285181591016433,0.9861133156147199,14156427.999491744,14312931.004829016,0.005274725274725275,1827.0,4102.0,0.16939541855932935,15303.09691701403,15625.24391848053,1200.0000000519697,1396.5803013302752,224,92884.99275171189,1715.379411300004
15,0.8,2.0,14311115.65741846,1831,15357.572353390038,0.5285479868606165,0.9884005587838792,14156427.999491744,14312931.004829016,0.0017582417582417582,1827.0,4102.0,0.16910117470602187,15303.09691701403,15625.24391848053,1200.0000000519697,1396.5803015402048,224,92864.64927837136,1661.1592000000019
16,0.95,2.0,14311460.713090032,1830,15357.304904575643,0.5293524703714676,0.9906053450167638,14156427.999491744,14312931.004829016,0.0013186813186813187,1827.0,4102.0,0.16827096733740657,15303.09691701403,15625.24391848053,1200.00000005197,1396.5705882126315,224,92458.50692058705,1653.271880100001
17,0.85,1.0,14311446.980798637,1836,15361.526986718876,0.5327210214854241,0.9905176004308675,14156427.999491744,14312931.004829016,0.003956043956043956,1827.0,4102.0,0.18137704041588584,15303.09691701403,15625.24391848053,1200.0000000519697,1396.5760023742373,224,93642.11665743467,1663.2717447000032
18,0.8,1.0,14312931.004829016,1838,15367.217321097705,0.5412587139169461,1.0,14156427.999491744,14312931.004829016,0.004835164835164835,1827.0,4102.0,0.1990408223319834,15303.09691701403,15625.24391848053,1200.0000000519697,1396.5793084914887,224,93078.65312109885,1656.8043352000022
19,0.95,0.5,14312658.873299327,1845,15367.225599400535,0.54131751718513,0.9982611737768078,14156427.999491744,14312931.004829016,0.007912087912087912,1827.0,4102.0,0.19906651961549823,15303.09691701403,15625.24391848053,1200.0000000519697,1396.573608925296,224,94317.88449442126,1670.5423559000046
20,0.95,0.25,14309946.016097162,1923,15396.72943733827,0.5612531254880504,0.9809269558407465,14156427.999491744,14312931.004829016,0.0421978021978022,1827.0,4102.0,0.29065153454168213,15303.09691701403,15625.24391848053,1200.0000000519697,1394.6258431676513,224,98902.38270527689,1661.111551199996
