date,run_label,alpha,lambda,soc_start_kwh,scenario_count_00,soc_00_kwh,plan_primary_status_00,plan_secondary_status_00,plan_cost_00_yuan,increase_00_kwh,decrease_00_kwh,scenario_count_06,soc_06_kwh,plan_primary_status_06,plan_secondary_status_06,adjustment_cost_06_yuan,increase_06_kwh,decrease_06_kwh,rho_06,scenario_count_12,soc_12_kwh,plan_primary_status_12,plan_secondary_status_12,adjustment_cost_12_yuan,increase_12_kwh,decrease_12_kwh,rho_12,scenario_count_18,soc_18_kwh,plan_primary_status_18,plan_secondary_status_18,adjustment_cost_18_yuan,increase_18_kwh,decrease_18_kwh,rho_18,soc_end_kwh,soc_min_kwh,soc_max_kwh,adjustment_cost_total_yuan,actual_emergency_purchase_kwh,actual_emergency_cost_yuan,total_actual_cost_yuan,emergency_slot_count,actual_throughput_kwh,simultaneous_slots,max_constraint_violation,actual_primary_status,actual_secondary_status,actual_tertiary_status,predicted_plan_cost_00_yuan,predicted_adjustment_cost_06_yuan,predicted_adjustment_cost_12_yuan,predicted_adjustment_cost_18_yuan
2025-02-01,Q4-3 SEARCH,0.8,2.0,6000.0,2,6000.0,optimal,optimal,17704.998134576555,0.0,0.0,2,9412.028295154325,optimal,optimal,-835.8328280117909,0.0,3016.2460072980675,0.6203361283146992,2,6894.116867746915,optimal,optimal,-63.7017297471607,2.6850483436646755e-07,193.7677869331808,0.5219275667876406,2,10197.944476851852,optimal,optimal,-26.66209790810743,0.0,62.756499171064284,0.5,1200.0000001,1200.0000001,10800.0,-926.196655667059,1.0520875733979311e-07,2e-07,16778.801479109497,0,33067.368391786666,0,1.00000761449337e-07,optimal,optimal,optimal,18731.39647195714,-814.2297012583119,-60.63598023095882,-23.401662907507536
2025-02-02,Q4-3 SEARCH,0.8,2.0,1200.0000001,3,1200.0000001,optimal,optimal,64060.004566700896,0.0,0.0,3,10800.0,optimal,optimal,-1488.9033273389186,9.157730099887885,3722.519321185306,0.630420805544078,3,7521.591452352982,optimal,optimal,-383.0582124925039,20.076424518134473,1032.6462124800125,0.5328440473078151,3,10800.0,optimal,optimal,-4.779619899034292e-07,2.1648925212502944e-07,1.1652064118131058e-06,0.5,1200.0000001,1200.0000001,10800.0,-1871.9615403093846,14.533405615991784,34.202857122184824,62222.24588351369,3,42170.614868765406,0,1.0002986527979374e-07,optimal,optimal,optimal,67597.33438475637,-1538.0791806543139,-382.8346607499197,-4.422441678103492e-07
2025-02-03,Q4-3 SEARCH,0.8,2.0,1200.0000001,4,1200.0000001,optimal,optimal,66972.86227921161,0.0,0.0,4,10794.161419753087,optimal,optimal,-1993.051487424206,0.0,4652.188913573755,0.6081206271476367,4,7630.736388465353,optimal,optimal,-619.7654490223899,0.0,1490.9125915651614,0.5188848576958215,4,10786.822222222223,optimal,optimal,23.118253880361035,11.859999999998106,1.1368683772161603e-12,0.5,1283.9915780940123,1200.0000001,10800.0,-2589.6986825662348,168.16601619708217,805.4645644066369,65188.62816105202,7,41082.588042199175,0,1.0000712791224942e-07,optimal,optimal,optimal,68977.70785854544,-2004.3091186809195,-612.1668249231451,21.394021507337282
2025-02-04,Q4-3 SEARCH,0.8,2.0,1283.9915780940123,5,1283.9915780940123,optimal,optimal,69114.38781601956,0.0,0.0,5,10800.0,optimal,optimal,-1596.604114333954,159.7802744378373,4296.463035780327,0.604213286359979,5,7944.716762260735,optimal,optimal,-1007.5933282785447,0.0,2526.5208754179657,0.5361436228440177,5,10792.654320987655,optimal,optimal,12.824233278060671,6.611111111108393,2.2737367544323206e-13,0.5,1200.0000001,1200.0000001,10800.0,-2591.3732093344383,29.371520544730082,147.5463018748714,66670.56090855999,3,42726.2318372301,0,1.00000761449337e-07,optimal,optimal,optimal,70643.73772415877,-1626.7211588180512,-1026.7057890049773,12.366274995310198
2025-02-05,Q4-3 SEARCH,0.8,2.0,1200.0000001,6,1200.0000001,optimal,optimal,64893.080383486886,0.0,0.0,6,10800.0,optimal,optimal,-315.1550338241549,335.37775993769117,1957.0098108799693,0.6073189178332172,6,7073.663197573372,optimal,optimal,-479.19634854779105,0.0,1103.2700994747056,0.5500793609993078,6,10800.0,optimal,optimal,1.0457842430304111e-07,2.1197309603817317e-07,2.6169595883404377e-07,0.5,1200.0000001,1200.0000001,10800.0,-794.3513822673674,151.68095828631462,387.37292620333284,64486.101927422846,7,43162.96854803402,0,1.0001531336456537e-07,optimal,optimal,optimal,66107.53444789513,-311.75227417404017,-481.3877187833065,1.0000363797880706e-07
2025-02-06,Q4-3 SEARCH,0.8,2.0,1200.0000001,7,1200.0000001,optimal,optimal,69900.42837506898,0.0,0.0,7,10797.222530864197,optimal,optimal,-2264.1367245538772,0.0,5075.792795738254,0.6235349872124988,7,7774.480444385562,optimal,optimal,-1335.7115186091364,0.0,3170.5321260292103,0.5707119684648804,7,10796.047530864198,optimal,optimal,7.064109827777178,3.5572224477495307,2.784286959084521e-07,0.5,1200.0000001,1200.0000001,10800.0,-3592.7841333352367,69.54772372669838,150.8644240187017,66458.50866575244,5,43310.10671141306,0,1.0000121619668789e-07,optimal,optimal,optimal,72123.62018843417,-2202.407346352834,-1304.6293071776463,6.503323485448312
2025-02-07,Q4-3 SEARCH,0.8,2.0,1200.0000001,8,1200.0000001,optimal,optimal,19303.121975249713,0.0,0.0,8,9683.11007407407,optimal,optimal,-726.0279800410015,0.0,3048.087118656589,0.6423505795163891,8,7505.256504074071,optimal,optimal,-328.83630050557315,0.0,1424.624327205773,0.6644873138638798,8,10290.618518518519,optimal,optimal,13.608128726244038,10.708333645773681,3.8572984091305266e-07,0.5,1200.0,1200.0,10800.0,-1041.2561518203306,92.70863841883879,251.4156316779144,18513.2814551073,3,39116.99555989631,0,1.0000064776249928e-07,optimal,optimal,optimal,20499.615480342673,-734.5836814425246,-346.3225985768903,12.64277599034009
2025-02-08,Q4-3 SEARCH,0.8,2.0,1200.0,9,1200.0,optimal,optimal,15715.003714839153,0.0,0.0,9,8246.95644607821,optimal,optimal,-90.39661732880558,7.3266143650567415,294.7451219331481,0.6251944679866634,9,7408.129102744877,optimal,optimal,-18.69059436091944,0.9439153216314935,56.56802693128907,0.7212701175370082,9,9922.13807419691,optimal,optimal,53.878941032613284,60.73194290115235,32.61064943767412,0.5,1200.0000000999994,1200.0,10800.0,-55.20827065711174,278.47511563134236,893.617332549739,16553.41277673178,9,36219.23474316862,0,1.0000303518609144e-07,optimal,optimal,optimal,16048.099593682797,-86.5666394252153,-17.935064507921947,56.08821052281125
2025-02-09,Q4-3 SEARCH,0.8,2.0,1200.0000000999994,10,1200.0000000999994,optimal,optimal,64125.82473182769,0.0,0.0,10,10793.536111111112,optimal,optimal,-916.1972410679905,0.0,1810.2997390068192,0.6518986649382474,10,8090.7704667304915,optimal,optimal,-868.4197366266592,0.0,2165.9649892646094,0.7139956059165149,10,10777.467592592593,optimal,optimal,6.374275203743951,9.570833333333935,20.381313002053716,0.5,1200.0000001,1200.0000000999994,10800.000000000002,-1778.2427024909057,200.875513211228,332.23007516022176,62679.81210449701,2,42957.021399182275,0,1.0002258932217956e-07,optimal,optimal,optimal,65362.63289217499,-926.8126691482184,-842.9270360628879,6.454978462435199
2025-02-10,Q4-3 SEARCH,0.8,2.0,1200.0000001,11,1200.0000001,optimal,optimal,59136.754729642715,0.0,0.0,11,10741.27487037037,optimal,optimal,-2567.01369177494,2.118680114839208,6124.433918112296,0.632296215923355,11,7611.218320631951,optimal,optimal,338.2559344483443,456.9376525707719,808.267772660722,0.7122470447481396,11,9998.13888888889,optimal,optimal,-12.601780479611772,1.4000001513004008,22.33332899741694,0.5,1205.9361873396672,1200.0000001,10800.0,-2241.3595378062078,203.32081769295348,576.732738385587,57472.127930222094,4,39763.71766652087,0,1.0000803740695119e-07,optimal,optimal,optimal,60445.921488871376,-2707.472299637187,324.4526789811275,-12.497388035838373
2025-02-11,Q4-3 SEARCH,0.8,2.0,1205.9361873396672,12,1205.9361873396672,optimal,optimal,60371.995609804115,0.0,0.0,12,10776.236749999998,optimal,optimal,-1913.269027974688,0.2593259813581881,4499.635018775654,0.6087291375097827,12,6621.154715407464,optimal,optimal,-773.7572709546494,0.0,1863.1161007373298,0.7061748899852236,12,10800.0,optimal,optimal,-6.159733357752441,0.0,9.957537341860291,0.5,1257.4330279593562,1200.0,10800.0,-2693.18603228709,656.8695496714137,2403.6024847287968,60082.41206224582,17,42173.7519591106,0,1.0000940164900385e-07,optimal,optimal,optimal,61400.20353087335,-2044.913291005448,-797.5352029157812,-6.173122970635482
