date,update_time,slot,old_forecast_kwh,new_raw_forecast_kwh,updated_forecast_kwh,confidence_rho,historical_error_old,historical_error_new
2025-03-20,00:00,1,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,2,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,3,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,4,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,5,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,6,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,7,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,8,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,9,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,10,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,11,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,12,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,13,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,14,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,15,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,16,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,17,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,18,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,19,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,20,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,21,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,22,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,23,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,24,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,25,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,26,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,27,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,28,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,29,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,30,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,31,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,32,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,33,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,34,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,35,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,36,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,37,48.45720277777778,48.45720277777778,48.45720277777778,1.0,0.0,0.0
2025-03-20,00:00,38,96.91440555555556,96.91440555555556,96.91440555555556,1.0,0.0,0.0
2025-03-20,00:00,39,145.3716083333333,145.3716083333333,145.3716083333333,1.0,0.0,0.0
2025-03-20,00:00,40,193.82881111111112,193.82881111111112,193.82881111111112,1.0,0.0,0.0
2025-03-20,00:00,41,242.28601388888887,242.28601388888887,242.28601388888887,1.0,0.0,0.0
2025-03-20,00:00,42,290.7432166666666,290.7432166666666,290.7432166666666,1.0,0.0,0.0
2025-03-20,00:00,43,347.83453888888886,347.83453888888886,347.83453888888886,1.0,0.0,0.0
2025-03-20,00:00,44,404.9258611111111,404.9258611111111,404.9258611111111,1.0,0.0,0.0
2025-03-20,00:00,45,462.0171833333334,462.0171833333334,462.0171833333334,1.0,0.0,0.0
2025-03-20,00:00,46,519.1085055555556,519.1085055555556,519.1085055555556,1.0,0.0,0.0
2025-03-20,00:00,47,576.1998277777777,576.1998277777777,576.1998277777777,1.0,0.0,0.0
2025-03-20,00:00,48,633.29115,633.29115,633.29115,1.0,0.0,0.0
2025-03-20,00:00,49,681.7142777777777,681.7142777777777,681.7142777777777,1.0,0.0,0.0
2025-03-20,00:00,50,730.1374055555555,730.1374055555555,730.1374055555555,1.0,0.0,0.0
2025-03-20,00:00,51,778.5605333333333,778.5605333333333,778.5605333333333,1.0,0.0,0.0
2025-03-20,00:00,52,826.9836611111111,826.9836611111111,826.9836611111111,1.0,0.0,0.0
2025-03-20,00:00,53,875.406788888889,875.406788888889,875.406788888889,1.0,0.0,0.0
2025-03-20,00:00,54,923.8299166666667,923.8299166666667,923.8299166666667,1.0,0.0,0.0
2025-03-20,00:00,55,973.6439583333333,973.6439583333333,973.6439583333333,1.0,0.0,0.0
2025-03-20,00:00,56,1023.4580000000001,1023.4580000000001,1023.4580000000001,1.0,0.0,0.0
2025-03-20,00:00,57,1073.2720416666666,1073.2720416666666,1073.2720416666666,1.0,0.0,0.0
2025-03-20,00:00,58,1123.0860833333331,1123.0860833333331,1123.0860833333331,1.0,0.0,0.0
2025-03-20,00:00,59,1172.900125,1172.900125,1172.900125,1.0,0.0,0.0
2025-03-20,00:00,60,1222.7141666666666,1222.7141666666666,1222.7141666666666,1.0,0.0,0.0
2025-03-20,00:00,61,1248.0948722222222,1248.0948722222222,1248.0948722222222,1.0,0.0,0.0
2025-03-20,00:00,62,1273.4755777777777,1273.4755777777777,1273.4755777777777,1.0,0.0,0.0
2025-03-20,00:00,63,1298.8562833333333,1298.8562833333333,1298.8562833333333,1.0,0.0,0.0
2025-03-20,00:00,64,1324.2369888888888,1324.2369888888888,1324.2369888888888,1.0,0.0,0.0
2025-03-20,00:00,65,1349.6176944444444,1349.6176944444444,1349.6176944444444,1.0,0.0,0.0
2025-03-20,00:00,66,1374.9984,1374.9984,1374.9984,1.0,0.0,0.0
2025-03-20,00:00,67,1363.8025499999999,1363.8025499999999,1363.8025499999999,1.0,0.0,0.0
2025-03-20,00:00,68,1352.6067,1352.6067,1352.6067,1.0,0.0,0.0
2025-03-20,00:00,69,1341.41085,1341.41085,1341.41085,1.0,0.0,0.0
2025-03-20,00:00,70,1330.215,1330.215,1330.215,1.0,0.0,0.0
2025-03-20,00:00,71,1319.01915,1319.01915,1319.01915,1.0,0.0,0.0
2025-03-20,00:00,72,1307.8233,1307.8233,1307.8233,1.0,0.0,0.0
2025-03-20,00:00,73,1266.0381194444444,1266.0381194444444,1266.0381194444444,1.0,0.0,0.0
2025-03-20,00:00,74,1224.2529388888888,1224.2529388888888,1224.2529388888888,1.0,0.0,0.0
2025-03-20,00:00,75,1182.4677583333332,1182.4677583333332,1182.4677583333332,1.0,0.0,0.0
2025-03-20,00:00,76,1140.6825777777776,1140.6825777777776,1140.6825777777776,1.0,0.0,0.0
2025-03-20,00:00,77,1098.8973972222223,1098.8973972222223,1098.8973972222223,1.0,0.0,0.0
