date,update_time,slot,previous_plan_kwh,new_plan_kwh,increase_kwh,decrease_kwh,adjustment_cost_yuan,alpha,lambda,scenario_count,primary_objective,secondary_throughput,primary_status,secondary_status,empirical_cvar_yuan,initial_soc_kwh,plan_terminal_soc_kwh,max_constraint_violation,predicted_adjustment_cost_yuan,price_forecast_yuan_per_kwh,contract_gamma,price_real_yuan_per_kwh
2025-03-20,00:00,1,0.0,595.6955416666667,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.4295,1.0,0.4487
2025-03-20,00:00,2,0.0,582.9183583333333,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.42155,1.0,0.4373
2025-03-20,00:00,3,0.0,604.9666666666666,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.42565,1.0,0.4311
2025-03-20,00:00,4,0.0,604.2893666666666,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.44705,1.0,0.4344
2025-03-20,00:00,5,0.0,560.4954166666668,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.4535,1.0,0.4238
2025-03-20,00:00,6,0.0,563.5524999999999,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.4403,1.0,0.4296
2025-03-20,00:00,7,0.0,563.9215500000001,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.4319,1.0,0.4989
2025-03-20,00:00,8,0.0,587.7014666666666,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.42264999999999997,1.0,0.5083
2025-03-20,00:00,9,0.0,1384.8266666666668,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.41375,1.0,0.4468
2025-03-20,00:00,10,0.0,1368.3710333333333,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.41775,1.0,0.4284
2025-03-20,00:00,11,0.0,587.3054500000001,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.4344,1.0,0.4436
2025-03-20,00:00,12,0.0,640.2366666666667,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.4359,1.0,0.454
2025-03-20,00:00,13,0.0,1397.4309916666666,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.39854999999999996,1.0,0.4404
2025-03-20,00:00,14,0.0,1391.9107,0.0,0.0,0.0,0.85,0.25,14,44504.05290620309,33678.40192865044,optimal,optimal,628.1587284293694,6000.0,1199.9999999999998,9.997893357649446e-08,0.0,0.4071,1.0,0.4405
