Region,Hour,GPU_Used,AI_IT_Power_MW,Available_GPU,GPU_Utilization,NonAI_IT_Load_MW,Total_IT_Power_MW,Max_IT_Power_MW,PUE,Facility_Power_MW,Max_Facility_Power_MW
RegionA,2376,82.00000000000401,9.7000000000004,630,0.13015873015873652,309.804667,319.5046670000004,420,1.35,431.3313004500005,567.0
RegionB,2376,0.0,0.0,585,0.0,326.364667,326.364667,410,1.35,440.59230045000004,553.5
RegionC,2376,230.0,36.8,540,0.42592592592592593,344.690333,381.490333,405,1.38,526.45665954,558.9
RegionD,2376,58.0,9.28,1472,0.03940217391304348,306.754667,316.03466699999996,720,1.28,404.52437375999995,921.6
RegionE,2376,53.0,7.34,1012,0.05237154150197629,284.838667,292.17866699999996,560,1.25,365.22333374999994,700.0
RegionF,2376,34.0,3.4000000000000004,966,0.035196687370600416,294.039333,297.439333,540,1.27,377.74795291,685.8
RegionA,2377,91.749999999985,9.712666666664541,630,0.1456349206348968,365.486667,375.19933366666453,420,1.35,506.51910044999715,567.0
RegionB,2377,12.0,0.9600000000000001,585,0.020512820512820513,352.361333,353.321333,410,1.35,476.98379955,553.5
RegionC,2377,166.533333333373,26.645333333339682,540,0.30839506172846853,328.52,355.1653333333397,405,1.38,490.12816000000873,558.9
RegionD,2377,615.0,98.39999999999999,1472,0.41779891304347827,329.964667,428.364667,720,1.28,548.30677376,921.6
RegionE,2377,386.0,57.699999999999996,1012,0.3814229249011858,278.656667,336.356667,560,1.25,420.44583375,700.0
RegionF,2377,171.0,24.14,966,0.17701863354037267,289.888,314.02799999999996,540,1.27,398.81555999999995,685.8
RegionA,2378,220.26666666667003,28.456333333333674,630,0.34962962962963495,386.013333,414.46966633333363,420,1.35,559.5340495500004,567.0
RegionB,2378,174.0,23.880000000000003,585,0.29743589743589743,382.850667,406.730667,410,1.35,549.08640045,553.5
RegionC,2378,128.0,20.48,540,0.23703703703703705,365.282667,385.762667,405,1.38,532.35248046,558.9
RegionD,2378,615.0,98.39999999999999,1472,0.41779891304347827,348.947333,447.347333,720,1.28,572.60458624,921.6
RegionE,2378,503.08333333333496,76.8266666666668,1012,0.4971179183135721,270.491,347.3176666666668,560,1.25,434.1470833333335,700.0
RegionF,2378,483.49999999998306,72.80533333333058,966,0.5005175983436677,288.251333,361.05666633333055,540,1.27,458.5419662433298,685.8
RegionA,2379,190.89999999997102,25.165333333328714,630,0.303015873015827,393.177333,418.3426663333287,420,1.35,564.7625995499938,567.0
RegionB,2379,175.216666666659,24.001666666665898,585,0.2995156695156564,383.332,407.33366666666586,410,1.35,549.900449999999,553.5
RegionC,2379,239.500000000034,37.24000000000544,540,0.4435185185185815,363.225333,400.46533300000544,405,1.38,552.6421595400075,558.9
RegionD,2379,707.716666666629,111.07466666666065,1472,0.48078577898548164,373.827,484.9016666666606,720,1.28,620.6741333333256,921.6
RegionE,2379,568.166666666678,87.91866666666849,1012,0.5614295125164802,303.226,391.1446666666685,560,1.25,488.9308333333356,700.0
RegionF,2379,481.0,70.2,966,0.4979296066252588,297.421333,367.621333,540,1.27,466.87909291,685.8
RegionA,2380,304.88333333333395,42.675000000000026,630,0.48394179894179995,376.727333,419.402333,420,1.35,566.19314955,567.0
RegionB,2380,320.150000000003,45.815000000000296,585,0.5472649572649624,361.266667,407.08166700000027,410,1.35,549.5602504500004,553.5
RegionC,2380,232.1,36.056,540,0.4298148148148148,367.83,403.88599999999997,405,1.38,557.36268,558.9
RegionD,2380,739.916666666655,115.0816666666647,1472,0.5026607789854993,401.420667,516.5023336666646,720,1.28,661.1229870933307,921.6
RegionE,2380,443.783333333265,68.3053333333224,1012,0.4385210803688389,379.651333,447.9566663333224,560,1.25,559.945832916653,700.0
RegionF,2380,541.0,78.48,966,0.5600414078674948,273.648333,352.128333,540,1.27,447.20298291,685.8
RegionA,2381,312.81666666674704,42.534666666679584,630,0.4965343915345191,374.448667,416.9833336666796,420,1.35,562.9275004500175,567.0
RegionB,2381,313.28333333329,45.57999999999344,585,0.5355270655269915,353.538667,399.1186669999934,410,1.35,538.8102004499912,553.5
RegionC,2381,234.499999999994,35.4699999999994,540,0.43425925925924813,365.41,400.8799999999994,405,1.38,553.2143999999992,558.9
RegionD,2381,788.850000000044,123.03600000000704,1472,0.5359035326087256,402.656,525.692000000007,720,1.28,672.8857600000091,921.6
RegionE,2381,552.73333333335,83.217333333336,1012,0.5461791831357213,357.794667,441.012000333336,560,1.25,551.26500041667,700.0
RegionF,2381,530.7666666666219,77.58199999999282,966,0.5494478951000227,299.575333,377.15733299999283,540,1.27,478.9898129099909,685.8
RegionA,2382,218.31666666666004,26.109999999999324,630,0.34653439153438104,376.852,402.9619999999993,420,1.35,543.9986999999991,567.0
RegionB,2382,239.833333333374,34.58733333333984,585,0.40997150997157944,357.084,391.6713333333398,410,1.35,528.7563000000088,553.5
RegionC,2382,284.5,42.76,540,0.5268518518518519,353.62,396.38,405,1.38,547.0043999999999,558.9
RegionD,2382,589.28333333327,90.72266666665672,1472,0.40032835144923234,364.554,455.2766666666567,720,1.28,582.7541333333206,921.6
RegionE,2382,514.199999999991,77.2949999999991,1012,0.50810276679841,424.756667,502.0516669999991,560,1.25,627.5645837499989,700.0
RegionF,2382,402.65,58.605000000000004,966,0.41682194616977225,360.613333,419.21833300000003,540,1.27,532.40728291,685.8
RegionA,2383,179.64999999999705,22.30599999999987,630,0.28515873015872545,391.778667,414.08466699999985,420,1.35,559.0143004499998,567.0
RegionB,2383,235.733333333318,32.01733333333088,585,0.40296296296293677,367.330667,399.3480003333309,410,1.35,539.1198004499968,553.5
RegionC,2383,211.716666666652,30.554666666664318,540,0.39206790123454077,365.773333,396.3279996666643,405,1.38,546.9326395399967,558.9
RegionD,2383,824.1,127.728,1472,0.5598505434782609,367.476,495.204,720,1.28,633.86112,921.6
RegionE,2383,251.416666666644,36.93266666666304,1012,0.2484354413702016,381.65,418.58266666666304,560,1.25,523.2283333333288,700.0
RegionF,2383,390.250000000018,59.12800000000317,966,0.4039855072463955,399.154667,458.2826670000032,540,1.27,582.0189870900041,685.8
RegionA,2384,179.79999999999998,21.843999999999983,630,0.28539682539682537,394.555333,416.399333,420,1.35,562.1390995500001,567.0
RegionB,2384,259.583333333368,37.81333333333822,585,0.443732193732253,363.42,401.23333333333824,410,1.35,541.6650000000067,553.5
RegionC,2384,77.23333333334199,10.384333333334203,540,0.14302469135804072,379.268667,389.6530003333342,405,1.38,537.7211404600012,558.9
RegionD,2384,701.516666666717,109.12066666667427,1472,0.4765738224638023,382.357667,491.47833366667425,720,1.28,629.092267093343,921.6
RegionE,2384,414.916666666671,62.61166666666709,1012,0.40999670619236267,391.725,454.3366666666671,560,1.25,567.9208333333339,700.0
RegionF,2384,262.333333333341,40.3533333333341,966,0.2715665976535621,389.646,429.9993333333341,540,1.27,546.0991533333344,685.8
RegionA,2385,186.58333333333803,22.020666666667097,630,0.2961640211640286,397.473333,419.49399966666715,420,1.35,566.3168995500007,567.0
RegionB,2385,251.816666666645,37.61666666666378,585,0.43045584045580343,361.14,398.75666666666376,410,1.35,538.3214999999961,553.5
RegionC,2385,65.0,9.280000000000001,540,0.12037037037037036,380.261333,389.541333,405,1.38,537.56703954,558.9
RegionD,2385,782.1333333333,121.82133333332844,1472,0.5313405797101223,376.262667,498.08400033332845,720,1.28,637.5475204266604,921.6
RegionE,2385,540.599999999996,83.4999999999996,1012,0.5341897233201542,308.909333,392.4093329999996,560,1.25,490.5116662499995,700.0
RegionF,2385,300.066666666632,44.07066666666112,966,0.3106280193236356,323.424,367.4946666666611,540,1.27,466.7182266666596,685.8
RegionA,2386,195.833333333333,23.006666666666636,630,0.3108465608465603,396.824,419.8306666666667,420,1.35,566.7714000000001,567.0
RegionB,2386,324.8666666667,47.70266666667199,585,0.5553276353276922,348.609333,396.31199966667197,410,1.35,535.0211995500072,553.5
RegionC,2386,127.683333333331,19.45866666666648,540,0.2364506172839463,381.109333,400.5679996666665,405,1.38,552.7838395399997,558.9
RegionD,2386,820.233333333346,124.85733333333539,1472,0.5572237318840666,345.526,470.3833333333354,720,1.28,602.0906666666693,921.6
RegionE,2386,449.400000000028,69.42400000000448,1012,0.444071146245087,318.36,387.7840000000045,560,1.25,484.7300000000056,700.0
RegionF,2386,406.699999999998,57.51599999999984,966,0.42101449275362113,289.396,346.91199999999986,540,1.27,440.5782399999998,685.8
RegionA,2387,238.41666666667402,23.15666666666736,630,0.3784391534391651,369.585,392.74166666666736,420,1.35,530.201250000001,567.0
RegionB,2387,296.266666666672,45.00666666666719,585,0.5064387464387555,357.312667,402.31933366666715,410,1.35,543.1311004500006,553.5
RegionC,2387,235.08333333333098,37.28666666666648,540,0.4353395061728352,367.186333,404.47299966666645,405,1.38,558.1727395399996,558.9
RegionD,2387,811.966666666708,124.45166666667302,1472,0.5516077898551005,284.687333,409.13899966667304,720,1.28,523.6979195733416,921.6
RegionE,2387,532.033333333368,84.0893333333392,1012,0.5257246376811937,237.059,321.1483333333392,560,1.25,401.43541666667403,700.0
RegionF,2387,489.48333333332806,69.77199999999901,966,0.5067115251897806,268.386667,338.158666999999,540,1.27,429.46150708999875,685.8
RegionA,2388,287.75000000000307,28.98000000000023,630,0.4567460317460366,342.459333,371.43933300000026,420,1.35,501.4430995500004,567.0
RegionB,2388,322.733333333372,48.94533333333952,585,0.5516809116809778,309.892667,358.83800033333955,410,1.35,484.43130045000845,553.5
RegionC,2388,252.0,39.06,540,0.4666666666666667,304.750667,343.810667,405,1.38,474.45872046,558.9
RegionD,2388,779.1166666666008,121.46466666665616,1472,0.5292912137680712,288.34,409.80466666665615,720,1.28,524.5499733333198,921.6
RegionE,2388,458.83333333329404,71.59333333332704,1012,0.4533926218708439,276.284,347.87733333332704,560,1.25,434.8466666666588,700.0
RegionF,2388,518.99999999997,74.8199999999952,966,0.5372670807453106,183.54,258.3599999999952,540,1.27,328.1171999999939,685.8
RegionA,2389,323.833333333342,34.32933333333492,630,0.5140211640211778,315.173333,349.50266633333496,420,1.35,471.8285995500022,567.0
RegionB,2389,127.03333333335,17.43533333333588,585,0.21715099715102565,312.122667,329.5580003333359,410,1.35,444.9033004500035,553.5
RegionC,2389,194.9,28.604,540,0.36092592592592593,323.67,352.274,405,1.38,486.13811999999996,558.9
RegionD,2389,653.433333333341,102.741666666668,1472,0.44390851449275887,276.742333,379.48399966666796,720,1.28,485.739519573335,921.6
RegionE,2389,380.0,58.980000000000004,1012,0.37549407114624506,255.563333,314.543333,560,1.25,393.17916625000004,700.0
RegionF,2389,481.533333333389,70.10533333334115,966,0.4984817115252474,249.668667,319.7740003333412,540,1.27,406.1129804233433,685.8
RegionA,2390,329.683333333339,33.75400000000057,630,0.5233068783068874,303.77,337.52400000000057,420,1.35,455.6574000000008,567.0
RegionB,2390,327.00000000004,48.8600000000064,585,0.5589743589744274,283.511333,332.37133300000636,410,1.35,448.7012995500086,553.5
RegionC,2390,207.0,30.54,540,0.38333333333333336,297.518667,328.058667,405,1.38,452.72096045999996,558.9
RegionD,2390,815.133333333331,128.3193333333331,1472,0.553759057971013,220.578667,348.89800033333313,720,1.28,446.58944042666644,921.6
RegionE,2390,567.883333333324,89.8906666666658,1012,0.561149538866921,162.153,252.04366666666579,560,1.25,315.05458333333223,700.0
RegionF,2390,481.73333333334597,70.7553333333351,966,0.498688750862677,207.527,278.2823333333351,540,1.27,353.41856333333556,685.8
RegionA,2391,354.13333333334805,36.057333333334725,630,0.5621164021164254,261.085667,297.1430003333347,420,1.35,401.1430504500019,567.0
RegionB,2391,299.68333333335306,44.51433333333631,585,0.512279202279236,267.384667,311.8990003333363,410,1.35,421.063650450004,553.5
RegionC,2391,303.466666666682,45.85466666666912,540,0.5619753086420037,287.315333,333.1699996666691,405,1.38,459.77459954000335,558.9
RegionD,2391,825.200000000004,130.01200000000037,1472,0.5605978260869593,163.742667,293.7546670000004,720,1.28,376.0059737600005,921.6
RegionE,2391,566.7333333333299,87.7573333333328,1012,0.5600131752305632,136.862,224.6193333333328,560,1.25,280.774166666666,700.0
RegionF,2391,541.0166666666829,83.07966666666994,966,0.5600586611456345,176.351333,259.43099966666995,540,1.27,329.4773695766708,685.8
RegionA,2392,353.266666666655,36.187999999998866,630,0.5607407407407222,246.132333,282.32033299999887,420,1.35,381.1324495499985,567.0
RegionB,2392,328.900000000019,50.690666666669756,585,0.5622222222222547,246.264,296.95466666666977,410,1.35,400.8888000000042,553.5
RegionC,2392,303.03333333329397,43.645333333327045,540,0.5611728395061,251.304667,294.950000333327,405,1.38,407.0310004599912,558.9
RegionD,2392,826.899999999985,130.9439999999976,1472,0.5617527173912942,135.089667,266.0336669999976,720,1.28,340.5230937599969,921.6
RegionE,2392,568.9500000000139,89.1090000000014,1012,0.5622035573122667,138.071333,227.1803330000014,560,1.25,283.9754162500018,700.0
RegionF,2392,542.6833333332789,85.68933333332464,966,0.5617839889578456,110.130667,195.82000033332463,540,1.27,248.69140042332228,685.8
RegionA,2393,321.233333333335,32.93666666666728,630,0.5098941798941825,205.558333,238.4949996666673,420,1.35,321.96824955000085,567.0
RegionB,2393,299.183333333374,45.070333333339846,585,0.5114245014245709,186.761333,231.83166633333985,410,1.35,312.9727495500088,553.5
RegionC,2393,143.700000000019,17.3333333333364,540,0.2661111111111463,199.5,216.8333333333364,405,1.38,299.2300000000042,558.9
RegionD,2393,691.63333333331,110.28133333333001,1472,0.46985960144925953,162.847333,273.12866633333,720,1.28,349.60469290666236,921.6
RegionE,2393,424.400000000007,67.90400000000113,1012,0.4193675889328133,122.781333,190.68533300000115,560,1.25,238.35666625000144,700.0
RegionF,2393,300.24999999996,46.9333333333268,966,0.31081780538298137,114.762667,161.6960003333268,540,1.27,205.35392042332504,685.8
RegionA,2394,271.36666666665803,27.646333333332464,630,0.43074074074072705,216.963667,244.61000033333244,420,1.35,330.2235004499988,567.0
RegionB,2394,267.183333333367,39.389333333338726,585,0.45672364672370425,204.92,244.3093333333387,410,1.35,329.8176000000073,553.5
RegionC,2394,238.45000000000198,34.02966666666688,540,0.4415740740740777,221.473,255.5026666666669,405,1.38,352.5936800000003,558.9
RegionD,2394,691.89999999999,110.5439999999984,1472,0.4700407608695584,152.298667,262.8426669999984,720,1.28,336.43861375999796,921.6
RegionE,2394,554.216666666652,85.43466666666433,1012,0.5476449275362174,111.780667,197.21533366666432,560,1.25,246.5191670833304,700.0
RegionF,2394,487.5,74.38,966,0.5046583850931677,159.15,233.53,540,1.27,296.5831,685.8
RegionA,2395,332.049999999986,40.84766666666373,630,0.5270634920634699,224.566,265.41366666666374,420,1.35,358.30844999999607,567.0
RegionB,2395,292.916666666631,44.361666666660966,585,0.5007122507121897,193.223333,237.58499966666096,410,1.35,320.7397495499923,553.5
RegionC,2395,260.58333333335503,39.26933333333665,540,0.4825617283951019,229.516,268.78533333333667,405,1.38,370.92376000000456,558.9
RegionD,2395,766.166666666697,122.24000000000481,1472,0.5204936594203105,135.815333,258.0553330000048,720,1.28,330.3108262400061,921.6
RegionE,2395,515.733333333368,78.07733333333888,1012,0.5096179183136048,86.956667,165.0340003333389,560,1.25,206.29250041667362,700.0
RegionF,2395,480.916666666625,72.56466666666023,966,0.4978433402346015,165.802,238.36666666666022,540,1.27,302.72566666665847,685.8
RegionA,2396,316.083333333304,39.253999999995436,630,0.5017195767195302,219.676,258.9299999999954,420,1.35,349.5554999999938,567.0
RegionB,2396,147.266666666622,21.366666666660002,585,0.2517378917378154,192.422667,213.78933366665999,410,1.35,288.615600449991,553.5
RegionC,2396,242.56666666671202,35.83400000000684,540,0.44919753086428155,227.382333,263.21633300000684,405,1.38,363.2385395400094,558.9
RegionD,2396,764.00000000004,122.0000000000064,1472,0.519021739130462,149.052333,271.0523330000064,720,1.28,346.9469862400082,921.6
RegionE,2396,524.266666666677,78.48266666666834,1012,0.5180500658761631,127.568667,206.05133366666834,560,1.25,257.5641670833354,700.0
RegionF,2396,538.316666666649,79.11066666666386,966,0.5572636300896987,129.38,208.49066666666386,540,1.27,264.78314666666313,685.8
RegionA,2397,253.13333333335103,29.34633333333502,630,0.4017989417989699,207.508667,236.85500033333503,420,1.35,319.7542504500023,567.0
RegionB,2397,267.0,39.36,585,0.4564102564102564,240.434667,279.794667,410,1.35,377.72280045,553.5
RegionC,2397,136.266666666688,18.80266666667008,540,0.2523456790123852,275.196667,293.99933366667005,405,1.38,405.71908046000465,558.9
RegionD,2397,796.199999999994,125.77199999999904,1472,0.5408967391304307,170.268333,296.04033299999907,720,1.28,378.9316262399988,921.6
RegionE,2397,536.033333333341,79.34533333333458,1012,0.5296772068511275,160.878,240.22333333333455,560,1.25,300.2791666666682,700.0
RegionF,2397,514.383333333415,74.90733333334684,966,0.5324879227053985,166.16,241.06733333334682,540,1.27,306.1555133333505,685.8
RegionA,2398,321.81666666668696,41.50600000000268,630,0.510820105820138,260.890667,302.3966670000027,420,1.35,408.23550045000366,567.0
RegionB,2398,260.050000000008,36.34500000000156,585,0.44452991452992824,273.081,309.4260000000016,410,1.35,417.72510000000216,553.5
RegionC,2398,259.0,38.43999999999999,540,0.47962962962962963,288.158667,326.598667,405,1.38,450.7061604599999,558.9
RegionD,2398,789.649999999997,123.21999999999974,1472,0.5364470108695631,192.122667,315.3426669999998,720,1.28,403.6386137599997,921.6
RegionE,2398,559.133333333349,82.08933333333673,1012,0.5525032938076572,202.833333,284.92266633333674,560,1.25,356.15333291667093,700.0
RegionF,2398,375.933333333328,55.793333333332484,966,0.3891649413388489,179.29,235.08333333333246,540,1.27,298.5558333333322,685.8
RegionA,2399,310.41666666667095,37.013666666667056,630,0.4927248677248745,302.28,339.29366666666704,420,1.35,458.0464500000005,567.0
RegionB,2399,282.0,40.08,585,0.48205128205128206,283.883333,323.963333,410,1.35,437.35049955,553.5
RegionC,2399,297.183333333351,43.434333333335815,540,0.5503395061728723,316.006667,359.4410003333358,405,1.38,496.02858046000335,558.9
RegionD,2399,759.733333333328,118.7973333333328,1472,0.5161231884057935,238.008667,356.8060003333328,720,1.28,456.711680426666,921.6
RegionE,2399,337.033333333311,50.53233333333037,1012,0.33303689064556424,226.501333,277.03366633333036,560,1.25,346.29208291666293,700.0
RegionF,2399,334.88333333333304,51.304333333333304,966,0.3466701173222909,216.338,267.6423333333333,540,1.27,339.90576333333325,685.8
RegionA,2400,268.499999999987,33.0896666666655,630,0.4261904761904555,367.981667,401.0713336666655,420,1.35,541.4463004499985,567.0
RegionB,2400,222.383333333341,32.84933333333465,585,0.38014245014246323,325.436667,358.28600033333464,410,1.35,483.6861004500018,553.5
RegionC,2400,254.6,38.06,540,0.47148148148148145,337.659333,375.719333,405,1.38,518.4926795399999,558.9
RegionD,2400,526.066666666638,82.21066666666209,1472,0.3573822463767921,296.44,378.6506666666621,720,1.28,484.6728533333275,921.6
RegionE,2400,248.883333333314,38.43333333333056,1012,0.24593214756256324,346.67,385.10333333333057,560,1.25,481.3791666666632,700.0
RegionF,2400,203.699999999973,31.431999999995682,966,0.21086956521736333,358.41,389.8419999999957,540,1.27,495.0993399999946,685.8
RegionA,2401,196.91666666667498,26.46400000000084,630,0.31256613756615076,393.03,419.4940000000008,420,1.35,566.3169000000012,567.0
RegionB,2401,188.133333333321,28.481333333331364,585,0.3215954415954205,381.385333,409.86666633333135,410,1.35,553.3199995499973,553.5
RegionC,2401,249.0,37.5,540,0.46111111111111114,357.876,395.376,405,1.38,545.6188799999999,558.9
RegionD,2401,311.383333333352,48.211333333336185,1472,0.21153759057972285,304.584,352.7953333333362,720,1.28,451.5780266666703,921.6
